group,model,ic
2023-03-28,L-En,0.21758241758241756
2023-04-24,L-En,0.17130434782608686
2023-04-25,L-En,-0.4793901750423491
2023-04-26,L-En,0.35824175824175836
2023-06-26,L-En,-0.13826086956521744
2023-06-27,L-En,0.5964285714285713
2023-08-21,L-En,0.1936274509803921
2023-03-28,N-En,0.40659340659340654
2023-04-24,N-En,0.15304347826086956
2023-04-25,N-En,-0.42857142857142855
2023-04-26,N-En,0.375824175824176
2023-06-26,N-En,-0.21913043478260874
2023-06-27,N-En,0.5928571428571429
2023-08-21,N-En,0.0857843137254902
2023-03-28,elasticnet#2,0.2615384615384615
2023-04-24,elasticnet#2,0.1721739130434783
2023-04-25,elasticnet#2,-0.34613212874082444
2023-04-26,elasticnet#2,0.3670329670329672
2023-06-26,elasticnet#2,-0.10695652173913053
2023-06-27,elasticnet#2,0.6392857142857142
2023-08-21,elasticnet#2,0.03186274509803919
2023-03-28,ffn#1,0.38901098901098896
2023-04-24,ffn#1,0.2660869565217391
2023-04-25,ffn#1,-0.25127046866177316
2023-04-26,ffn#1,0.4285714285714286
2023-06-26,ffn#1,-0.01913043478260877
2023-06-27,ffn#1,0.6142857142857144
2023-08-21,ffn#1,0.2549019607843136
2023-03-28,lasso#2,0.18241758241758232
2023-04-24,lasso#2,0.13565217391304346
2023-04-25,lasso#2,-0.3811405985319029
2023-04-26,lasso#2,0.35824175824175836
2023-06-26,lasso#2,-0.10695652173913053
2023-06-27,lasso#2,0.6392857142857142
2023-08-21,lasso#2,0.03186274509803919
2023-03-28,lgbm_dart#2,0.24395604395604392
2023-04-24,lgbm_dart#2,0.14571554227536843
2023-04-25,lgbm_dart#2,-0.43151653796426215
2023-04-26,lgbm_dart#2,0.36263736263736274
2023-06-26,lgbm_dart#2,-0.21130434782608706
2023-06-27,lgbm_dart#2,0.6291334058214284
2023-08-21,lgbm_dart#2,0.09313725490196072
2023-03-28,lgbm_gbdt#1,0.43296703296703287
2023-04-24,lgbm_gbdt#1,0.09786864779688915
2023-04-25,lgbm_gbdt#1,-0.4792315934910852
2023-04-26,lgbm_gbdt#1,0.2621151732895342
2023-06-26,lgbm_gbdt#1,-0.2069565217391305
2023-06-27,lgbm_gbdt#1,0.6057386579090928
2023-08-21,lgbm_gbdt#1,0.20588235294117643
2023-03-28,pcr#1,0.024175824175824253
2023-04-24,pcr#1,0.35217391304347817
2023-04-25,pcr#1,-0.13269339356295876
2023-04-26,pcr#1,0.22637362637362626
2023-06-26,pcr#1,0.3930434782608695
2023-06-27,pcr#1,0.05357142857142857
2023-08-21,pcr#1,-0.13235294117647062
2023-03-28,pls#2,0.279120879120879
2023-04-24,pls#2,0.21739130434782605
2023-04-25,pls#2,-0.4872953133822701
2023-04-26,pls#2,0.3802197802197802
2023-06-26,pls#2,-0.12521739130434784
2023-06-27,pls#2,0.5607142857142857
2023-08-21,pls#2,0.28921568627450983
2023-03-28,rf#2,0.39340659340659334
2023-04-24,rf#2,0.16782608695652174
2023-04-25,rf#2,-0.39197968239162045
2023-04-26,rf#2,0.243956043956044
2023-06-26,rf#2,-0.2400000000000001
2023-06-27,rf#2,0.5821428571428571
2023-08-21,rf#2,0.034313725490196054
2023-03-28,ridge#1,0.29670329670329654
2023-04-24,ridge#1,0.3217391304347826
2023-04-25,ridge#1,-0.1372106154714851
2023-04-26,ridge#1,0.3626373626373628
2023-06-26,ridge#1,-0.15391304347826093
2023-06-27,ridge#1,0.6857142857142857
2023-08-21,ridge#1,0.15686274509803924
