model,IC_mean,IC_std,N
L-En,0.13136192877880853,0.34794213829682713,7
N-En,0.1380572362724354,0.36219144785617513,7
elasticnet#2,0.14554359293124364,0.32285896484544896,7
ffn#1,0.24035087796140037,0.29076056758555074,7
lasso#2,0.12276612195501488,0.32683418617555143,7
lgbm_dart#2,0.1188226748288307,0.35326125166500055,7
lgbm_gbdt#1,0.1311976785247871,0.3712712528154413,7
pcr#1,0.11204170509797105,0.2162022432613962,7
pls#2,0.15916417585580897,0.35203792940234335,7
rf#2,0.11280937493722738,0.34270566048063444,7
ridge#1,0.21893330880543155,0.2957640375817085,7
