model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
pcr#1,0.07481,0.000844,1.645286,0.181867,0.074514,0.07481
rf#2,-0.383337,-0.182325,-1.36326,-1.64236,-0.41894,-0.383337
N-En,-0.530509,-0.672661,-1.459512,-1.058904,-0.552083,-0.530509
L-En,-0.575583,-0.093797,-2.537782,-0.602554,-0.614087,-0.575583
lasso#2,-0.626839,-0.271617,-2.936236,-1.092537,-0.634023,-0.626839
elasticnet#2,-0.642881,-0.176419,-3.153747,-0.593355,-0.651309,-0.642881
lgbm_dart#2,-1.398727,-2.167834,-2.285549,-1.008857,-1.372057,-1.398727
lgbm_gbdt#1,-1.71608,-2.253001,-2.605076,-1.212985,-1.696421,-1.71608
ffn#1,-1.960933,0.093735,-4.806469,0.364298,-1.977038,-1.960933
ridge#1,-3.797279,-0.374727,-5.79366,-0.885048,-3.83649,-3.797279
pls#2,-6.896147,-5.055458,-4.302902,-1.672812,-6.929497,-6.896147
