model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
pcr#2,-0.03539682075427808,-9.130869441209555e-06,-1.3210347156198323,0.20131809123846028,-0.025589540876466144,-0.03539682075427808
pcr#1,-0.03539696766985201,-9.130747410601714e-06,-1.3210414315440502,0.20131795504661065,-0.025589697744675455,-0.03539696766985201
lasso#2,-0.042398241486098165,0.0005037728367909278,-1.5125256538659642,0.07231194795346021,-0.03144583497909026,-0.042398241486098165
elasticnet#2,-0.043015474441490786,0.00012101575316258995,-1.637431945413487,-0.2608968150188666,-0.03405198735686832,-0.043015474441490786
lasso#1,-0.04321820152995337,-0.0002573340160443305,-1.4231248396115752,-0.3145201235716668,-0.030436170941595897,-0.04321820152995337
elasticnet#1,-0.045320050931006994,-2.6133726170662896e-05,-1.7326727087423262,-0.937848130671864,-0.03597350424537282,-0.045320050931006994
L-En,-0.055327606649478556,0.004143199651848506,-1.8223580036637528,0.23141030522088707,-0.04295794801225794,-0.055327606649478556
lgbm_gbdt#2,-0.08796658155878156,-0.006343961944791587,-1.6861698574040136,-0.8826188579527996,-0.07205501617332133,-0.08796658155878156
pls#2,-0.0910088343298101,-0.02268041379357566,-1.4016287880316423,-1.3466300842700132,-0.058805314241167306,-0.0910088343298101
lgbm_gbdt#1,-0.136414726117297,-0.00013992306541066313,-2.5153105304978642,-0.23844089118884762,-0.11568429767999056,-0.136414726117297
pls#1,-0.14161529240226467,-0.018577410391008353,-2.8523995862407934,-1.163872141273158,-0.11109482425290995,-0.14161529240226467
N-En,-0.14203697955513128,-0.005586704957582844,-2.205485664935962,-0.37903500213485475,-0.10289529259630426,-0.14203697955513128
lgbm_dart#2,-0.17194435480533476,-0.008289379919872664,-2.400374958493015,-1.0295790586841609,-0.13110364686991272,-0.17194435480533476
rf#1,-0.186898528553181,-0.007473464815619613,-2.6584638384929735,-1.0233648727708584,-0.1411133698327316,-0.186898528553181
lgbm_dart#1,-0.21865229196182612,-0.014193116001246509,-2.2674114522040263,-0.8093535817590168,-0.1664567232905052,-0.21865229196182612
rf#2,-0.24197948292558635,-0.008936491838282823,-3.3064953684234992,-1.1391930724499228,-0.18195636648703473,-0.24197948292558635
ffn#1,-0.25321396641693017,-0.05344821204271066,-3.53407748481571,-1.6698101153434322,-0.2139211979345519,-0.25321396641693017
ridge#1,-0.3175302485729088,-0.08651489869293827,-4.596971614291185,-3.8034702701181557,-0.33784538065418523,-0.3175302485729088
ridge#2,-0.31971577810693463,-0.08651764691489294,-4.622772105033728,-3.8046438967513403,-0.3402723125379661,-0.31971577810693463
ffn#2,-0.35031852955033904,-0.2495007251450394,-3.7293986526557332,-3.212021417070423,-0.3126970496835473,-0.35031852955033904
