model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.068101,0.079005,2.783282,3.837696,0.144525
rf#2,0.057436,0.068165,3.610872,4.170041,0.137545
lgbm_dart#2,0.052612,0.067444,1.206879,2.97295,0.139129
lgbm_gbdt#1,0.043697,0.063594,1.539734,2.866197,0.155171
L-En,0.036523,0.044141,2.92363,4.628093,0.072073
elasticnet#2,0.024007,0.039005,2.928164,4.485851,0.060106
lasso#2,0.022547,0.038003,2.83385,4.533226,0.061408
pcr#1,0.000112,-0.00055,-0.544292,-4.283225,-0.005924
ffn#1,-0.02212,0.060903,0.505612,2.841584,0.12475
ridge#1,-0.076299,0.045075,-2.493481,3.756151,0.049542
pls#2,-0.101771,-0.021288,-1.956373,-0.043597,0.133194
