model,IC_mean,IC_std,N
L-En,-0.08728555586140724,0.3953940617910175,11
N-En,-0.01448964691998752,0.5027696466620385,11
elasticnet#1,-0.09684451255658688,0.3454824569114921,11
elasticnet#2,-0.0997346564684026,0.3496317581043671,11
ffn#1,-0.00871715144160965,0.5287450673826141,11
ffn#2,-0.003902891054593874,0.5294158236537096,11
lasso#1,-0.08682659789470935,0.3581351068596327,11
lasso#2,-0.0855920309480681,0.35667587145859564,11
lgbm_dart#1,0.06093141651465517,0.18970182671582697,11
lgbm_dart#2,0.05168570065083358,0.3028662049456731,11
lgbm_gbdt#1,-0.18988136984623985,0.31433377743458457,11
lgbm_gbdt#2,-0.11124213109694646,0.2878999111469426,11
pcr#1,0.058457392280921686,0.583170644236118,11
pcr#2,0.058457392280921686,0.583170644236118,11
pls#1,-0.08322268546726752,0.4848593472208447,11
pls#2,-0.1187967948803862,0.4074915158110096,11
rf#1,-0.1544123058703052,0.3773862840225905,11
rf#2,-0.1075235136380647,0.27632983090167657,11
ridge#1,-0.07511928216262585,0.32329124985852975,11
ridge#2,-0.07623570959484277,0.32421868159917294,11
