model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,18,2.158536,3.612243,2.535237,0.666667
N-En,18,2.139609,3.585416,2.53181,0.666667
elasticnet#1,18,2.082989,3.546635,2.491763,0.666667
elasticnet#2,18,2.062274,3.506671,2.495098,0.666667
ffn#1,18,2.243975,3.711339,2.565214,0.777778
ffn#2,18,2.246164,3.710521,2.568283,0.777778
lasso#1,18,2.05863,3.503145,2.493195,0.666667
lasso#2,18,2.093001,3.569571,2.487652,0.666667
lgbm_dart#1,18,2.079307,3.420526,2.579063,0.666667
lgbm_dart#2,18,2.003528,3.412867,2.490647,0.666667
lgbm_gbdt#1,18,2.156381,3.593892,2.545639,0.666667
lgbm_gbdt#2,18,2.04615,3.444145,2.520532,0.666667
pcr#1,18,-1.756614,2.986006,-2.49587,0.333333
pcr#2,18,-1.756614,2.986006,-2.49587,0.333333
pls#1,18,2.183113,3.646467,2.540038,0.722222
pls#2,18,2.131535,3.500901,2.583145,0.666667
rf#1,18,2.073824,3.417676,2.574408,0.666667
rf#2,18,2.07242,3.414162,2.575313,0.666667
ridge#1,18,2.02905,3.386708,2.541857,0.666667
ridge#2,18,2.028811,3.386719,2.54155,0.666667
