model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,9,0.206704,0.230579,2.689367,0.777778
N-En,9,0.147013,0.219573,2.008625,0.555556
elasticnet#1,9,0.20554,0.222682,2.769066,0.777778
elasticnet#2,9,0.20554,0.222682,2.769066,0.777778
ffn#1,9,0.205608,0.212001,2.909539,0.777778
ffn#2,9,0.232161,0.212271,3.281092,0.777778
lasso#1,9,0.171285,0.226078,2.27291,0.777778
lasso#2,9,0.171285,0.226078,2.27291,0.777778
lgbm_dart#1,9,0.102548,0.228238,1.34791,0.666667
lgbm_dart#2,9,0.073428,0.147184,1.496655,0.666667
lgbm_gbdt#1,9,0.166157,0.195907,2.544432,0.777778
lgbm_gbdt#2,9,0.181749,0.204985,2.659935,0.777778
pcr#1,9,-0.168036,0.267039,-1.887777,0.444444
pcr#2,9,-0.168036,0.267039,-1.887777,0.444444
pls#1,9,0.170104,0.201647,2.530714,0.777778
pls#2,9,0.196001,0.229827,2.558458,0.777778
rf#1,9,0.192157,0.194798,2.959316,0.777778
rf#2,9,0.058748,0.169665,1.038773,0.555556
ridge#1,9,0.203437,0.233985,2.608334,0.777778
ridge#2,9,0.203437,0.233985,2.608334,0.777778
