model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
ridge#1,0.047626,0.03582,1.374626,1.51832,0.07554
ridge#2,0.0475,0.035854,1.375719,1.5185,0.075535
N-En,0.046574,0.042328,0.322124,0.700157,0.06962
lgbm_gbdt#2,0.044266,0.031438,0.14495,0.217061,0.039865
lgbm_dart#1,0.043336,0.025484,0.423608,0.181586,0.052648
L-En,0.042784,0.028651,1.736366,0.847004,0.070885
rf#1,0.036509,0.044483,0.528145,1.396809,0.080066
elasticnet#1,0.035378,0.03545,1.45149,1.932843,0.06657
elasticnet#2,0.035374,0.036,1.453884,1.94959,0.067845
lgbm_gbdt#1,0.031273,0.041283,0.223297,0.609567,0.058659
rf#2,0.023812,0.048529,0.454341,1.525168,0.085951
lasso#1,0.020756,0.035954,1.19453,2.30574,0.061682
lasso#2,0.020713,0.035952,1.19308,2.30637,0.06168
lgbm_dart#2,0.019255,0.027508,-0.111887,0.192321,0.008864
pcr#1,0.004728,-0.00063,0.037343,-2.998152,-0.006325
pcr#2,0.004728,-0.00063,0.037343,-2.998152,-0.006325
ffn#2,-0.02704,0.002159,-0.673069,-0.869597,0.04663
ffn#1,-0.027494,0.000187,-0.67974,-0.937279,0.045486
pls#2,-0.08261,-0.051806,-2.453734,-0.981749,0.070994
pls#1,-0.09646,-0.062889,-2.697955,-0.970411,0.063061
