model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.085043,0.056645,1.264839,0.264581,0.104867
lgbm_dart#1,0.080974,0.071096,1.116518,0.181409,0.078216
N-En,0.0594,0.085249,1.20201,0.443749,0.078884
lgbm_gbdt#1,0.059266,0.069622,1.051006,0.389463,0.089652
L-En,0.051787,0.045036,1.470133,0.673646,0.035239
rf#1,0.050753,0.053637,1.178217,0.352482,0.077678
rf#2,0.045848,0.049242,1.210636,0.339456,0.066456
lasso#2,0.044802,0.03887,1.552777,0.773253,0.026792
lasso#1,0.042753,0.036657,1.486455,0.788972,0.029211
elasticnet#2,0.042185,0.037022,1.498402,0.786942,0.02819
elasticnet#1,0.042008,0.03686,1.493977,0.788044,0.028332
lgbm_dart#2,0.025227,0.081455,0.941091,0.625524,0.081212
pcr#2,0.009642,-0.000729,-1.154015,-0.499715,-0.00443
pcr#1,0.009642,-0.000729,-1.154015,-0.499715,-0.00443
pls#2,-0.088964,0.022284,1.055657,0.279489,0.06576
ridge#1,-0.124872,0.049562,-1.216793,0.54503,-0.032561
ridge#2,-0.128291,0.049474,-1.236988,0.541861,-0.033832
ffn#1,-0.146676,0.093721,0.225926,0.546593,-0.003542
pls#1,-0.165672,0.062173,0.66097,0.565012,0.035988
ffn#2,-0.194715,0.098673,0.040398,0.545906,-0.015941
