model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,14,1.149215,1.483814,2.897917,0.785714
N-En,14,1.200997,1.553288,2.893037,0.857143
elasticnet#1,14,1.182095,1.545153,2.862495,0.928571
elasticnet#2,14,1.182095,1.545153,2.862495,0.928571
ffn#1,14,1.203211,1.46617,3.070587,0.857143
ffn#2,14,1.205333,1.469427,3.069186,0.857143
lasso#1,14,1.182095,1.545153,2.862495,0.928571
lasso#2,14,1.181467,1.546031,2.85935,0.857143
lgbm_dart#1,14,1.209967,1.582832,2.860241,0.785714
lgbm_dart#2,14,1.19771,1.549822,2.891572,0.857143
lgbm_gbdt#1,14,1.176709,1.54389,2.851784,0.785714
lgbm_gbdt#2,14,1.171275,1.501034,2.919661,0.785714
pcr#1,14,-0.887683,1.319402,-2.517357,0.285714
pcr#2,14,-0.887683,1.319402,-2.517357,0.285714
pls#1,14,1.139027,1.47252,2.894256,0.857143
pls#2,14,1.178914,1.467307,3.006249,0.857143
rf#1,14,1.175046,1.54248,2.850358,0.785714
rf#2,14,1.179362,1.55991,2.828862,0.785714
ridge#1,14,1.148865,1.482356,2.899884,0.857143
ridge#2,14,1.148865,1.482356,2.899884,0.857143
