model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#1,0.119935,0.091935,0.598565,1.174747,0.135821,0.119935
lgbm_dart#2,0.119777,0.096303,0.711845,1.779133,0.119972,0.119777
lgbm_gbdt#2,0.116922,0.079116,0.724196,1.274368,0.134895,0.116922
rf#1,0.111126,0.074606,0.8239,1.527865,0.117876,0.111126
rf#2,0.110867,0.076821,0.982935,1.697519,0.110608,0.110867
pls#2,0.110629,0.10599,0.980337,1.875284,0.137368,0.110629
pls#1,0.10854,0.063855,0.837745,1.980356,0.120529,0.10854
N-En,0.103882,0.109085,0.75537,1.613495,0.126284,0.103882
lgbm_dart#1,0.091764,0.090014,0.4269,0.987027,0.106933,0.091764
L-En,0.076542,0.046267,1.332246,2.244533,0.067514,0.076542
lasso#1,0.071605,0.035309,1.373313,2.073839,0.061228,0.071605
elasticnet#1,0.071294,0.035406,1.377677,2.074912,0.06067,0.071294
elasticnet#2,0.071244,0.035494,1.377953,2.076166,0.060531,0.071244
lasso#2,0.070357,0.036679,1.37884,2.087475,0.058453,0.070357
ridge#1,0.037305,0.050187,1.077004,1.870111,0.031452,0.037305
ridge#2,0.036883,0.050343,1.07292,1.869541,0.031072,0.036883
pcr#2,-0.008142,-0.00037,-1.463175,-1.652138,-0.007312,-0.008142
pcr#1,-0.008142,-0.00037,-1.463175,-1.652138,-0.007312,-0.008142
ffn#1,-0.010524,0.119556,0.65606,1.51744,0.085151,-0.010524
ffn#2,-0.016465,0.119375,0.641785,1.511483,0.081537,-0.016465
