model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
L-En,0.030175,0.058722,0.935879,2.615124,0.076542
lasso#1,0.028848,0.045622,0.95173,2.348061,0.071605
elasticnet#1,0.028477,0.045731,0.951953,2.354066,0.071294
elasticnet#2,0.028463,0.045823,0.951335,2.356953,0.071244
lasso#2,0.028175,0.047052,0.940375,2.3823,0.070357
rf#2,-0.005992,0.053555,0.687724,1.398464,0.110867
pcr#2,-0.008883,-0.000463,-1.164341,-1.363616,-0.008142
pcr#1,-0.008883,-0.000463,-1.164341,-1.363616,-0.008142
rf#1,-0.03075,0.033456,0.565224,1.295035,0.111126
lgbm_dart#2,-0.04506,0.06723,0.446099,1.495146,0.119777
lgbm_gbdt#2,-0.051788,-8.6e-05,0.508027,0.973923,0.116922
ridge#1,-0.052152,0.05743,0.533122,2.220229,0.037305
ridge#2,-0.053348,0.057539,0.524587,2.219199,0.036883
lgbm_gbdt#1,-0.107437,-3.5e-05,0.377921,0.820312,0.119935
N-En,-0.112394,0.064052,0.499326,1.396121,0.103882
pls#1,-0.134035,0.070377,0.507458,2.026048,0.10854
pls#2,-0.150276,0.09662,0.637967,1.815151,0.110629
lgbm_dart#1,-0.205407,-0.051289,0.210323,0.689984,0.091764
ffn#1,-0.508016,0.082449,0.321624,1.597183,-0.010524
ffn#2,-0.523897,0.082934,0.298372,1.605886,-0.016465
