model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
N-En,0.098191,0.066614,1.374183,1.532039,0.096567,0.098191
rf#2,0.09408,0.067247,1.259134,1.343815,0.098824,0.09408
lgbm_dart#2,0.08577,0.056937,1.334635,1.609452,0.089438,0.08577
lgbm_gbdt#1,0.083565,0.053591,1.416704,1.765789,0.085478,0.083565
rf#1,0.083466,0.054827,1.366486,1.494655,0.084948,0.083466
lgbm_gbdt#2,0.076117,0.057203,1.268159,1.670681,0.07698,0.076117
lasso#2,0.059962,0.062321,1.304892,1.614903,0.056003,0.059962
elasticnet#2,0.05988,0.062774,1.302401,1.612861,0.05606,0.05988
elasticnet#1,0.059867,0.062974,1.300592,1.611996,0.056076,0.059867
lasso#1,0.059722,0.064269,1.287331,1.605634,0.056169,0.059722
L-En,0.058555,0.054815,1.478223,1.747983,0.05494,0.058555
lgbm_dart#1,0.048812,0.027551,1.18573,1.302891,0.054291,0.048812
ffn#1,0.028265,0.066414,0.446164,1.026124,0.034461,0.028265
ffn#2,0.024717,0.064368,0.396407,0.9976,0.030277,0.024717
pls#2,0.012166,0.045477,0.418418,0.954134,0.025143,0.012166
pcr#1,-0.000932,0.001308,-0.272582,0.810952,-0.00137,-0.000932
pcr#2,-0.000932,0.001308,-0.272582,0.810952,-0.00137,-0.000932
pls#1,-0.126686,0.04284,-1.073654,1.363507,-0.085831,-0.126686
ridge#1,-0.135132,0.058182,-1.481085,1.525854,-0.077997,-0.135132
ridge#2,-0.137776,0.057868,-1.513869,1.525265,-0.079804,-0.137776
