model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 4.430375245218266}",-0.22543340603702933,"[-0.4800835177213414, 0.029216705647282737]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 13.981961408994046}",-0.05329005536526876,"[-0.13827036432435413, 0.03169025359381661]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 6.431172050131989}",-0.15927665067635716,"[-0.3483129618692722, 0.029759660516557873]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 4.31171005868549}",-0.23058343502603323,"[-0.49035091062092295, 0.029184040568856484]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.8662266976517967}",-0.4129354635725736,"[-0.8543694186454796, 0.028498491500332346]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 8.663279761354557}",-0.11306083604183798,"[-0.25647062473388793, 0.03034895265021198]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.0547625125911337}",-0.3892516488096577,"[-0.8070555164348656, 0.028552218815550257]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 47.34989304499475}",0.023219219081425768,"[0.007824210845283397, 0.03861422731756814]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 77.80155576901412}",0.03615941125021549,"[0.02888546255404112, 0.04343335994638986]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.4135935551752299}",-0.48679460375937705,"[-1.0019580826529184, 0.028368875134164306]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 23.72330072992193}",-0.008759268662628938,"[-0.05146795586855202, 0.03394941854329414]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 3.860866271460544}",-0.2519813453570982,"[-0.5330221365521146, 0.029059445837918196]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.059803874660431}",-0.20086637430942617,"[-0.4311218340827361, 0.029389085463883746]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 59.812219011525556}",0.029946056095224938,"[0.01917147193423885, 0.04072064025621103]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.16334587611069498}",-1.4625109374570928,"[-2.9530279302696303, 0.028006055355444537]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.18255254802399}",-1.4008787871980475,"[-2.829769258763626, 0.028011684367530876]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.11498870747119451}",-1.6499878848776905,"[-3.3279676449254953, 0.027991875170114366]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 31.46730406166004}",0.007120937630097024,"[-0.021349601079592384, 0.03559147633978643]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 21.600820741402043}",-0.015132768036067612,"[-0.06374236578320591, 0.03347682971107069]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 40.7414465416623}",0.018055820191251293,"[-0.0012957368587682705, 0.037407377241270856]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 86.26905220714896}",0.03831782063203604,"[0.03203874840325105, 0.044596892860821025]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 24.973286104060584}",-0.005515642712466351,"[-0.04525429199309228, 0.034223006568159575]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.4234724484675927}",-0.35055198460943965,"[-0.7297608232135604, 0.028656853994681097]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 21.957734465394555}",-0.013974823743059417,"[-0.06150666932080373, 0.0335570218346849]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.2263722969739548}",-1.2807087979603955,"[-2.5894421161676515, 0.02802452024686064]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 8.313101133778733}",-0.11907253382523858,"[-0.2684026638045163, 0.030257596154039113]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.26919058249260697}",-1.1847126233859513,"[-2.397462300659272, 0.028037053887369434]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 68.23493012435793}",0.03320519693034735,"[0.02437581633287611, 0.042034577527818584]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 3.6774346621052136}",-0.2616412283399747,"[-0.5522909846627158, 0.02900852798276632]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.7538232373118046}",-0.42870728168279926,"[-0.8858809502866176, 0.028466386921019105]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.6218230782016851}",-0.7718019883317071,"[-1.5717439214594933, 0.028139944796078953]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 21.023308743480115}",-0.017089127141059535,"[-0.0675246972455883, 0.033346442963469225]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.3358825194833552}",-0.35898883511669966,"[-0.7466097191860794, 0.028632048952680123]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.073432032394333}",-0.2003799108052512,"[-0.4301526231150692, 0.0293928015045668]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.11385953381489414}",-1.655031872842854,"[-3.3380552896038376, 0.027991543918129858]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 7.126995609048578}",-0.1426217399760598,"[-0.3151886402881514, 0.029945160336031784]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 6.859416411328697}",-0.1487403386673728,"[-0.32735470045684845, 0.029874023122102855]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 7.092543214735832}",-0.14339085148822805,"[-0.3167177176622171, 0.029936014685761014]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 67.80227021579829}",0.03305508710657906,"[0.024141130906577102, 0.04196904330658102]",3,1,60,True,
