group,model,ic
2023-06-26,ridge#1,-0.15391304347826093
2023-06-27,ridge#1,0.6857142857142857
2023-06-26,ridge#2,-0.15391304347826093
2023-06-27,ridge#2,0.6857142857142857
2023-06-26,lasso#1,-0.11130434782608703
2023-06-27,lasso#1,0.6392857142857142
2023-06-26,lasso#2,-0.10695652173913053
2023-06-27,lasso#2,0.6392857142857142
2023-06-26,elasticnet#1,-0.10695652173913053
2023-06-27,elasticnet#1,0.6392857142857142
2023-06-26,elasticnet#2,-0.10695652173913053
2023-06-27,elasticnet#2,0.6392857142857142
2023-06-26,pcr#1,0.3930434782608695
2023-06-27,pcr#1,0.05357142857142857
2023-06-26,pcr#2,0.3930434782608695
2023-06-27,pcr#2,0.05357142857142857
2023-06-26,pls#1,-0.06347826086956528
2023-06-27,pls#1,0.6464285714285716
2023-06-26,pls#2,-0.12521739130434784
2023-06-27,pls#2,0.5607142857142857
2023-06-26,L-En,-0.13826086956521744
2023-06-27,L-En,0.5964285714285713
2023-06-26,ffn#1,-0.01913043478260877
2023-06-27,ffn#1,0.6142857142857144
2023-06-26,ffn#2,-0.01913043478260877
2023-06-27,ffn#2,0.6142857142857144
2023-06-26,rf#1,-0.2452173913043479
2023-06-27,rf#1,0.5857142857142856
2023-06-26,rf#2,-0.2400000000000001
2023-06-27,rf#2,0.5821428571428571
2023-06-26,lgbm_gbdt#1,-0.2069565217391305
2023-06-27,lgbm_gbdt#1,0.6057386579090928
2023-06-26,lgbm_gbdt#2,-0.22730232235180617
2023-06-27,lgbm_gbdt#2,0.6281956882469129
2023-06-26,lgbm_dart#1,-0.12589873897415088
2023-06-27,lgbm_dart#1,0.7189665736352218
2023-06-26,lgbm_dart#2,-0.21130434782608706
2023-06-27,lgbm_dart#2,0.6291334058214284
2023-06-26,N-En,-0.21913043478260874
2023-06-27,N-En,0.5928571428571429
