model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.097971,0.103521,1.260661,1.765063,0.164206
rf#1,0.081904,0.086869,1.548356,1.688901,0.15508
lgbm_gbdt#1,0.078855,0.094486,1.238916,1.857712,0.164054
rf#2,0.075167,0.082049,1.544226,1.578581,0.149775
lgbm_gbdt#2,0.068736,0.080738,1.460942,1.515401,0.154021
lgbm_dart#2,0.066411,0.080048,0.610765,1.034114,0.174819
lgbm_dart#1,0.050544,0.054468,1.880347,1.688949,0.084258
L-En,0.024908,0.053566,1.291565,1.390219,0.076685
pcr#1,-0.000735,1e-06,-0.816137,0.46138,-0.004938
pcr#2,-0.000735,1e-06,-0.816137,0.46138,-0.004938
lasso#2,-0.010443,0.023717,0.705042,0.845459,0.068677
elasticnet#2,-0.015371,0.022394,0.595994,0.817797,0.067585
elasticnet#1,-0.016859,0.022088,0.563106,0.809995,0.067387
ffn#1,-0.025703,0.071413,-0.61929,0.929443,0.14808
lasso#1,-0.026457,0.02039,0.36446,0.765768,0.066381
ffn#2,-0.026843,0.070069,-0.671375,0.909088,0.14792
pls#2,-0.348207,-0.121783,-2.611014,-0.789582,0.128471
pls#1,-0.40405,0.052785,-2.341661,1.361336,0.111548
ridge#1,-0.453937,0.033681,-3.371629,0.666059,0.017483
ridge#2,-0.45573,0.034555,-3.372083,0.676808,0.01736
