model,IC_mean,IC_std,N
L-En,0.1218395528730663,0.36103334855905966,16
N-En,0.112976025769706,0.33843861808789544,16
elasticnet#1,0.11262849670557652,0.3462074987419834,16
elasticnet#2,0.11209420918905603,0.34709038214170773,16
ffn#1,0.18012947756389788,0.39609783276057875,16
ffn#2,0.18499554170211124,0.3901122951026162,16
lasso#1,0.11478785080726582,0.3472197235625015,16
lasso#2,0.11209456672126705,0.34646573834141975,16
lgbm_dart#1,0.05638914775674998,0.3384923014493204,16
lgbm_dart#2,0.11735997111761627,0.2721289220294311,16
lgbm_gbdt#1,0.07868237320605646,0.31659927126829324,16
lgbm_gbdt#2,0.047361499407646,0.3174050356507497,16
pcr#1,0.09975464150602316,0.5708396866921184,16
pcr#2,0.09975464150602316,0.5708396866921184,16
pls#1,0.12579540317665866,0.3206414241414404,16
pls#2,0.17223976538913027,0.37841118137258556,16
rf#1,0.06701893642004145,0.32752727820430916,16
rf#2,0.059079856690404914,0.3375053574141698,16
ridge#1,0.09205251098419444,0.3438055127361343,16
ridge#2,0.09089942279977474,0.3433456890496463,16
