model,IC_mean,IC_std,N
L-En,0.30900789480198204,0.28188050814249427,10
N-En,0.24155922325830792,0.25300151520491837,10
elasticnet#1,0.28881218289186844,0.2182897378334103,10
elasticnet#2,0.28479508887477445,0.21337979194284276,10
ffn#1,0.4050114524837711,0.23136119008670264,10
ffn#2,0.3984796918180693,0.2294667971008977,10
lasso#1,0.29066810474779026,0.21713462696158564,10
lasso#2,0.2836520453825023,0.21246976053957636,10
lgbm_dart#1,0.12922960630621264,0.22368793858553407,10
lgbm_dart#2,0.19447004357375813,0.26210716761409425,10
lgbm_gbdt#1,0.1927222564357474,0.2102503355717767,10
lgbm_gbdt#2,0.13364208019112772,0.2369938048393208,10
pcr#1,0.25543908751943734,0.5772945353113675,10
pcr#2,0.25543908751943734,0.5772945353113675,10
pls#1,0.23710103291228263,0.282284854892316,10
pls#2,0.38148438227127235,0.3757159090966034,10
rf#1,0.15752534937483634,0.29105585052862987,10
rf#2,0.13634590420447065,0.26767015051022225,10
ridge#1,0.2392889358044005,0.2768864569274544,10
ridge#2,0.2356120846173994,0.27807432856916703,10
