group,model,ic
2023-07-03,ridge#1,-0.9298245614035087
2023-07-05,ridge#1,0.19362745098039194
2023-07-06,ridge#1,-0.9699248120300752
2023-07-07,ridge#1,0.19705882352941176
2023-07-10,ridge#1,-0.7235294117647056
2023-07-11,ridge#1,-0.5516483516483516
2023-07-12,ridge#1,0.3857142857142858
2023-07-13,ridge#1,0.4999999999999998
2023-07-14,ridge#1,-0.5785714285714286
2023-07-03,ridge#2,-0.9215686274509803
2023-07-05,ridge#2,0.19362745098039194
2023-07-06,ridge#2,-0.9699248120300752
2023-07-07,ridge#2,0.19705882352941176
2023-07-10,ridge#2,-0.7235294117647056
2023-07-11,ridge#2,-0.5516483516483516
2023-07-12,ridge#2,0.3857142857142858
2023-07-13,ridge#2,0.4999999999999998
2023-07-14,ridge#2,-0.5785714285714286
2023-07-03,lasso#1,-0.8802889576883385
2023-07-05,lasso#1,0.31617647058823506
2023-07-06,lasso#1,-0.9834586466165414
2023-07-07,lasso#1,0.10000000000000005
2023-07-10,lasso#1,-0.7470588235294118
2023-07-11,lasso#1,-0.6439560439560441
2023-07-12,lasso#1,0.5392857142857143
2023-07-13,lasso#1,0.48928571428571427
2023-07-14,lasso#1,-0.4642857142857144
2023-07-03,lasso#2,-0.8802889576883385
2023-07-05,lasso#2,0.31617647058823506
2023-07-06,lasso#2,-0.9834586466165414
2023-07-07,lasso#2,0.10000000000000005
2023-07-10,lasso#2,-0.7470588235294118
2023-07-11,lasso#2,-0.6439560439560441
2023-07-12,lasso#2,0.5392857142857143
2023-07-13,lasso#2,0.48928571428571427
2023-07-14,lasso#2,-0.4642857142857144
2023-07-03,elasticnet#1,-0.9009287925696594
2023-07-05,elasticnet#1,0.31617647058823506
2023-07-06,elasticnet#1,-0.9834586466165414
2023-07-07,elasticnet#1,0.10000000000000005
2023-07-10,elasticnet#1,-0.7470588235294118
2023-07-11,elasticnet#1,-0.6439560439560441
2023-07-12,elasticnet#1,0.5214285714285715
2023-07-13,elasticnet#1,0.48928571428571427
2023-07-14,elasticnet#1,-0.5142857142857142
2023-07-03,elasticnet#2,-0.8802889576883385
2023-07-05,elasticnet#2,0.31617647058823506
2023-07-06,elasticnet#2,-0.9834586466165414
2023-07-07,elasticnet#2,0.10000000000000005
2023-07-10,elasticnet#2,-0.7470588235294118
2023-07-11,elasticnet#2,-0.6439560439560441
2023-07-12,elasticnet#2,0.5321428571428571
2023-07-13,elasticnet#2,0.48928571428571427
2023-07-14,elasticnet#2,-0.5142857142857142
2023-07-03,pcr#1,0.6532507739938082
2023-07-05,pcr#1,0.27696078431372567
2023-07-06,pcr#1,0.42105263157894735
2023-07-07,pcr#1,0.3764705882352941
2023-07-10,pcr#1,0.19705882352941184
2023-07-11,pcr#1,0.09450549450549453
2023-07-12,pcr#1,0.6321428571428572
2023-07-13,pcr#1,-0.4285714285714285
2023-07-14,pcr#1,0.23214285714285715
2023-07-03,pcr#2,0.6532507739938082
2023-07-05,pcr#2,0.27696078431372567
2023-07-06,pcr#2,0.42105263157894735
2023-07-07,pcr#2,0.3764705882352941
2023-07-10,pcr#2,0.19705882352941184
2023-07-11,pcr#2,0.09450549450549453
2023-07-12,pcr#2,0.6321428571428572
2023-07-13,pcr#2,-0.4285714285714285
2023-07-14,pcr#2,0.23214285714285715
2023-07-03,pls#1,-0.7729618163054697
2023-07-05,pls#1,-0.1176470588235296
2023-07-06,pls#1,-0.7353383458646617
2023-07-07,pls#1,-0.0735294117647058
2023-07-10,pls#1,-0.34705882352941175
2023-07-11,pls#1,-0.4417582417582417
2023-07-12,pls#1,-0.5714285714285715
2023-07-13,pls#1,0.5607142857142857
2023-07-14,pls#1,-0.32142857142857145
2023-07-03,pls#2,-0.5892672858617131
2023-07-05,pls#2,-0.23039215686274533
2023-07-06,pls#2,-0.769924812030075
2023-07-07,pls#2,-0.2352941176470588
2023-07-10,pls#2,-0.20588235294117643
2023-07-11,pls#2,-0.3362637362637363
2023-07-12,pls#2,-0.02500000000000002
2023-07-13,pls#2,0.7321428571428571
2023-07-14,pls#2,-0.4
2023-07-03,L-En,-0.8844169246646025
2023-07-05,L-En,0.09313725490196058
2023-07-06,L-En,-0.9278195488721807
2023-07-07,L-En,0.005882352941176528
2023-07-10,L-En,-0.6588235294117648
2023-07-11,L-En,-0.5340659340659341
2023-07-12,L-En,0.4535714285714286
2023-07-13,L-En,0.5857142857142857
2023-07-14,L-En,-0.5642857142857144
2023-07-03,ffn#1,-0.29824561403508765
2023-07-05,ffn#1,-0.007352941176470797
2023-07-06,ffn#1,-0.34285714285714286
2023-07-07,ffn#1,-0.23529411764705882
2023-07-10,ffn#1,-0.161764705882353
2023-07-11,ffn#1,-0.38461538461538464
2023-07-12,ffn#1,0.9571428571428572
2023-07-13,ffn#1,0.9142857142857143
2023-07-14,ffn#1,-0.5392857142857141
2023-07-03,ffn#2,-0.27966976264189886
2023-07-05,ffn#2,-0.07352941176470608
2023-07-06,ffn#2,-0.3248120300751879
2023-07-07,ffn#2,-0.20294117647058826
2023-07-10,ffn#2,-0.2441176470588236
2023-07-11,ffn#2,-0.41098901098901097
2023-07-12,ffn#2,0.95
2023-07-13,ffn#2,0.9142857142857143
2023-07-14,ffn#2,-0.5357142857142855
2023-07-03,rf#1,-0.8018575851393189
2023-07-05,rf#1,-0.11519607843137279
2023-07-06,rf#1,-0.8285714285714288
2023-07-07,rf#1,-0.16383875382491775
2023-07-10,rf#1,-0.4823529411764705
2023-07-11,rf#1,-0.5736263736263735
2023-07-12,rf#1,0.7535714285714288
2023-07-13,rf#1,0.24642857142857144
2023-07-14,rf#1,-0.5678571428571431
2023-07-03,rf#2,-0.7785235936815635
2023-07-05,rf#2,-0.02205882352941199
2023-07-06,rf#2,-0.861654135338346
2023-07-07,rf#2,-0.11470588235294113
2023-07-10,rf#2,-0.4411764705882353
2023-07-11,rf#2,-0.5692307692307692
2023-07-12,rf#2,0.5571428571428572
2023-07-13,rf#2,0.16785714285714284
2023-07-14,rf#2,-0.6821428571428573
2023-07-03,lgbm_gbdt#1,-0.8211597929591751
2023-07-05,lgbm_gbdt#1,0.3577152724523294
2023-07-06,lgbm_gbdt#1,-0.7508818040999853
2023-07-07,lgbm_gbdt#1,-0.16370207680536558
2023-07-10,lgbm_gbdt#1,-0.5125189652538962
2023-07-11,lgbm_gbdt#1,-0.5918595440653502
2023-07-12,lgbm_gbdt#1,0.7036730840254171
2023-07-13,lgbm_gbdt#1,0.5892857142857143
2023-07-14,lgbm_gbdt#1,-0.5425389466519643
2023-07-03,lgbm_gbdt#2,-0.7717693485001034
2023-07-05,lgbm_gbdt#2,-0.5160161132185171
2023-07-06,lgbm_gbdt#2,-0.7009135416049755
2023-07-07,lgbm_gbdt#2,-0.09608406496163005
2023-07-10,lgbm_gbdt#2,-0.3705619738594183
2023-07-11,lgbm_gbdt#2,-0.13641372391097303
2023-07-12,lgbm_gbdt#2,0.6636862402263878
2023-07-13,lgbm_gbdt#2,0.5004534623255874
2023-07-14,lgbm_gbdt#2,-0.4632024097610655
2023-07-03,lgbm_dart#1,-0.7729618163054696
2023-07-05,lgbm_dart#1,0.05147058823529392
2023-07-06,lgbm_dart#1,-0.5428571428571428
2023-07-07,lgbm_dart#1,-0.10588235294117643
2023-07-10,lgbm_dart#1,-0.46176470588235297
2023-07-11,lgbm_dart#1,-0.5340659340659341
2023-07-12,lgbm_dart#1,0.6142857142857143
2023-07-13,lgbm_dart#1,0.457142857142857
2023-07-14,lgbm_dart#1,-0.5642857142857144
2023-07-03,lgbm_dart#2,-0.7853457172342623
2023-07-05,lgbm_dart#2,-0.14950980392156882
2023-07-06,lgbm_dart#2,-0.7022556390977442
2023-07-07,lgbm_dart#2,-0.2558823529411763
2023-07-10,lgbm_dart#2,-0.37058823529411766
2023-07-11,lgbm_dart#2,-0.33626373626373635
2023-07-12,lgbm_dart#2,0.6428571428571429
2023-07-13,lgbm_dart#2,0.6214285714285714
2023-07-14,lgbm_dart#2,-0.5964285714285713
2023-07-03,N-En,-0.7192982456140351
2023-07-05,N-En,-0.03676470588235317
2023-07-06,N-En,-0.5037593984962406
2023-07-07,N-En,-0.27058823529411746
2023-07-10,N-En,-0.10294117647058827
2023-07-11,N-En,-0.512087912087912
2023-07-12,N-En,0.8071428571428572
2023-07-13,N-En,0.7214285714285715
2023-07-14,N-En,-0.5857142857142856
