model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#1,0.117379,0.164993,1.113692,1.068176,0.220305,0.117379
rf#1,0.040731,0.074481,0.847253,0.908296,0.184114,0.040731
rf#2,0.035769,0.127966,0.698673,0.96312,0.135258,0.035769
lasso#2,0.033801,0.084934,-0.5133,1.313001,-0.053269,0.033801
lasso#1,0.033761,0.084935,-0.514302,1.312702,-0.05335,0.033761
elasticnet#2,0.032875,0.08459,-0.533753,1.308314,-0.054871,0.032875
elasticnet#1,0.032409,0.084625,-0.545783,1.306735,-0.056257,0.032409
L-En,0.028161,0.077253,-0.168972,1.223331,-0.014972,0.028161
N-En,0.025641,0.117771,0.818976,0.924799,0.196581,0.025641
lgbm_dart#2,0.01644,0.161701,0.893718,1.03877,0.261858,0.01644
pcr#2,-0.018267,-0.001571,-0.825651,-1.623477,-0.014686,-0.018267
pcr#1,-0.018267,-0.001571,-0.825651,-1.623477,-0.014686,-0.018267
lgbm_gbdt#2,-0.03045,0.061275,0.732283,0.720594,0.220042,-0.03045
pls#2,-0.070028,0.07369,0.554426,0.918348,0.138339,-0.070028
ffn#1,-0.124222,0.050291,0.260805,0.681,0.058209,-0.124222
ffn#2,-0.129012,0.047807,0.261285,0.672537,0.059092,-0.129012
lgbm_gbdt#1,-0.1848,0.055821,0.489594,0.820423,0.147811,-0.1848
ridge#1,-0.186316,0.073931,-2.66207,0.716747,-0.37747,-0.186316
ridge#2,-0.188382,0.073557,-2.675826,0.708069,-0.379867,-0.188382
pls#1,-0.213168,0.048185,0.006611,1.065414,0.001725,-0.213168
