model,family,is_ensemble,member_of,member_rank,estimator,params_json
ridge#1,linear,False,,,Ridge,"{""max_iter"": 10000, ""alpha"": 92.28295957427436}"
ridge#2,linear,False,,,Ridge,"{""max_iter"": 10000, ""alpha"": 86.26905220714896}"
lasso#1,linear,False,,,Lasso,"{""max_iter"": 10000, ""alpha"": 0.017489966737814593}"
lasso#2,linear,False,,,Lasso,"{""max_iter"": 10000, ""alpha"": 0.017538232373118037}"
elasticnet#1,linear,False,,,ElasticNet,"{""max_iter"": 10000, ""alpha"": 0.020304615777978822, ""l1_ratio"": 0.8135386840125377}"
elasticnet#2,linear,False,,,ElasticNet,"{""max_iter"": 10000, ""alpha"": 0.020547625125911337, ""l1_ratio"": 0.8134184006256638}"
pcr#1,linear,False,,,Pipeline,"{""pca__n_components"": 2, ""ridge__alpha"": 0.0001}"
pcr#2,linear,False,,,Pipeline,"{""pca__n_components"": 2, ""ridge__alpha"": 0.001}"
pls#1,linear,False,,,PLSRegression,"{""n_components"": 1}"
pls#2,linear,False,,,PLSRegression,"{""n_components"": 4}"
ridge#1,linear,False,L-En,1,Ridge,"{""max_iter"": 10000, ""alpha"": 92.28295957427436}"
ridge#2,linear,False,L-En,2,Ridge,"{""max_iter"": 10000, ""alpha"": 86.26905220714896}"
lasso#1,linear,False,L-En,3,Lasso,"{""max_iter"": 10000, ""alpha"": 0.017489966737814593}"
lasso#2,linear,False,L-En,4,Lasso,"{""max_iter"": 10000, ""alpha"": 0.017538232373118037}"
elasticnet#1,linear,False,L-En,5,ElasticNet,"{""max_iter"": 10000, ""alpha"": 0.020304615777978822, ""l1_ratio"": 0.8135386840125377}"
elasticnet#2,linear,False,L-En,6,ElasticNet,"{""max_iter"": 10000, ""alpha"": 0.020547625125911337, ""l1_ratio"": 0.8134184006256638}"
pcr#1,linear,False,L-En,7,Pipeline,"{""pca__n_components"": 2, ""ridge__alpha"": 0.0001}"
pcr#2,linear,False,L-En,8,Pipeline,"{""pca__n_components"": 2, ""ridge__alpha"": 0.001}"
pls#1,linear,False,L-En,9,PLSRegression,"{""n_components"": 1}"
pls#2,linear,False,L-En,10,PLSRegression,"{""n_components"": 4}"
