group,model,ic
2023-07-03,ridge#1,0.32142857142857145
2023-07-06,ridge#1,0.7475490196078427
2023-07-07,ridge#1,0.38070175438596493
2023-07-12,ridge#1,0.20833333333333323
2023-07-14,ridge#1,0.006593406593406636
2023-07-03,ridge#2,0.35
2023-07-06,ridge#2,0.7475490196078427
2023-07-07,ridge#2,0.3824561403508772
2023-07-12,ridge#2,0.20833333333333323
2023-07-14,ridge#2,0.006593406593406636
2023-07-03,lasso#1,0.21785714285714283
2023-07-06,lasso#1,0.6544117647058825
2023-07-07,lasso#1,0.22280701754385976
2023-07-12,lasso#1,0.20343137254901972
2023-07-14,lasso#1,0.2307692307692307
2023-07-03,lasso#2,0.21785714285714283
2023-07-06,lasso#2,0.6544117647058825
2023-07-07,lasso#2,0.22280701754385976
2023-07-12,lasso#2,0.20343137254901972
2023-07-14,lasso#2,0.2307692307692307
2023-07-03,elasticnet#1,0.21785714285714283
2023-07-06,elasticnet#1,0.6250000000000001
2023-07-07,elasticnet#1,0.22105263157894747
2023-07-12,elasticnet#1,0.20343137254901972
2023-07-14,elasticnet#1,0.2307692307692307
2023-07-03,elasticnet#2,0.21785714285714283
2023-07-06,elasticnet#2,0.6250000000000001
2023-07-07,elasticnet#2,0.22105263157894747
2023-07-12,elasticnet#2,0.20343137254901972
2023-07-14,elasticnet#2,0.2307692307692307
2023-07-03,pcr#1,-0.4142857142857142
2023-07-06,pcr#1,-0.06862745098039218
2023-07-07,pcr#1,0.46842105263157907
2023-07-12,pcr#1,0.6985294117647058
2023-07-14,pcr#1,-0.2791208791208791
2023-07-03,pcr#2,-0.4142857142857142
2023-07-06,pcr#2,-0.06862745098039218
2023-07-07,pcr#2,0.46842105263157907
2023-07-12,pcr#2,0.6985294117647058
2023-07-14,pcr#2,-0.2791208791208791
2023-07-03,pls#1,0.3607142857142858
2023-07-06,pls#1,0.5294117647058825
2023-07-07,pls#1,0.45964912280701775
2023-07-12,pls#1,0.4877450980392157
2023-07-14,pls#1,0.3230769230769231
2023-07-03,pls#2,0.5214285714285715
2023-07-06,pls#2,0.48039215686274517
2023-07-07,pls#2,0.003508771929824639
2023-07-12,pls#2,0.6323529411764706
2023-07-14,pls#2,0.28791208791208783
2023-07-03,L-En,0.35714285714285726
2023-07-06,L-En,0.6323529411764707
2023-07-07,L-En,0.2666666666666668
2023-07-12,L-En,0.4607843137254901
2023-07-14,L-En,0.27032967032967037
2023-07-03,ffn#1,0.39642857142857135
2023-07-06,ffn#1,0.607843137254902
2023-07-07,ffn#1,0.2947368421052632
2023-07-12,ffn#1,0.7303921568627451
2023-07-14,ffn#1,0.2923076923076923
2023-07-03,ffn#2,0.39642857142857135
2023-07-06,ffn#2,0.6176470588235295
2023-07-07,ffn#2,0.3140350877192983
2023-07-12,ffn#2,0.7303921568627451
2023-07-14,ffn#2,0.2923076923076923
2023-07-03,rf#1,0.16428571428571428
2023-07-06,rf#1,0.7647058823529412
2023-07-07,rf#1,0.5350877192982457
2023-07-12,rf#1,0.16421568627450983
2023-07-14,rf#1,0.2835164835164836
2023-07-03,rf#2,0.12500000000000003
2023-07-06,rf#2,0.7377450980392158
2023-07-07,rf#2,0.5140350877192983
2023-07-12,rf#2,0.1887254901960784
2023-07-14,rf#2,0.28791208791208794
2023-07-03,lgbm_gbdt#1,0.30000000000000004
2023-07-06,lgbm_gbdt#1,0.7450980392156864
2023-07-07,lgbm_gbdt#1,0.5458534970413539
2023-07-12,lgbm_gbdt#1,0.2285019182194372
2023-07-14,lgbm_gbdt#1,0.30143032541618203
2023-07-03,lgbm_gbdt#2,0.15662080062357592
2023-07-06,lgbm_gbdt#2,0.778872129844748
2023-07-07,lgbm_gbdt#2,0.5840413629007613
2023-07-12,lgbm_gbdt#2,0.14420367093721018
2023-07-14,lgbm_gbdt#2,0.19801992180625094
2023-07-03,lgbm_dart#1,0.1714285714285714
2023-07-06,lgbm_dart#1,0.7794117647058824
2023-07-07,lgbm_dart#1,0.5964912280701755
2023-07-12,lgbm_dart#1,0.2696078431372549
2023-07-14,lgbm_dart#1,0.20439560439560436
2023-07-03,lgbm_dart#2,0.12500000000000006
2023-07-06,lgbm_dart#2,0.7524509803921569
2023-07-07,lgbm_dart#2,0.5491228070175439
2023-07-12,lgbm_dart#2,0.2745098039215687
2023-07-14,lgbm_dart#2,0.24395604395604395
2023-07-03,N-En,0.29642857142857143
2023-07-06,N-En,0.7647058823529412
2023-07-07,N-En,0.5561403508771932
2023-07-12,N-En,0.40931372549019607
2023-07-14,N-En,0.2923076923076923
