model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,5,5.038579,3.361574,3.351586,1.0
N-En,5,5.718904,4.425695,2.889457,1.0
elasticnet#1,5,4.722639,2.970402,3.555122,1.0
elasticnet#2,5,4.722639,2.970402,3.555122,1.0
ffn#1,5,6.004475,5.003821,2.683232,1.0
ffn#2,5,6.004475,5.003821,2.683232,1.0
lasso#1,5,4.722639,2.970402,3.555122,1.0
lasso#2,5,4.722639,2.970402,3.555122,1.0
lgbm_dart#1,5,5.148903,3.496584,3.292727,1.0
lgbm_dart#2,5,4.995296,3.33704,3.347225,1.0
lgbm_gbdt#1,5,5.097722,3.420196,3.332807,1.0
lgbm_gbdt#2,5,4.831964,3.123675,3.458938,1.0
pcr#1,5,1.502126,4.693921,0.715576,0.6
pcr#2,5,1.502126,4.693921,0.715576,0.6
pls#1,5,4.49902,2.802305,3.589942,1.0
pls#2,5,4.502265,4.856716,2.072876,1.0
rf#1,5,4.741592,3.010066,3.522355,1.0
rf#2,5,4.741592,3.010066,3.522355,1.0
ridge#1,5,4.083899,2.615641,3.491258,1.0
ridge#2,5,4.083899,2.615641,3.491258,1.0
