model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
N-En,0.361853,-4462.644529,0.696884,-1.371385,0.398842,0.361853
rf#1,0.330945,-183.334485,0.789963,-1.552213,0.336791,0.330945
rf#2,0.160727,-767.660402,0.716181,-1.176567,0.174299,0.160727
L-En,0.107932,-3789.668075,0.384888,-1.191686,0.348584,0.107932
pcr#2,0.070671,-0.795385,0.483429,-0.480537,0.087693,0.070671
pcr#1,0.070671,-0.795385,0.483429,-0.480537,0.087693,0.070671
lgbm_dart#2,-0.083516,-9994.869976,0.24323,-1.085494,0.13722,-0.083516
lgbm_gbdt#2,-0.343222,-5106.442184,-0.105049,-1.006415,-0.042805,-0.343222
lgbm_dart#1,-0.362079,-16601.48183,-2.124403,-1.165842,-0.250109,-0.362079
lgbm_gbdt#1,-0.715799,-43541.675244,-1.210043,-1.272813,-0.358991,-0.715799
pls#2,-1.41428,-12292.619285,-0.773813,-1.18409,-1.169206,-1.41428
lasso#2,-1.529002,-6469.84013,-0.646897,-1.502299,-0.798002,-1.529002
lasso#1,-1.600335,-6588.945355,-0.675779,-1.500179,-0.846896,-1.600335
ffn#2,-1.689762,-3074.981306,-0.599406,-1.358987,-0.830711,-1.689762
ffn#1,-1.718068,-3045.754318,-0.609043,-1.282328,-0.843876,-1.718068
elasticnet#1,-1.941183,-7411.516278,-0.816842,-1.475591,-1.104526,-1.941183
elasticnet#2,-2.132778,-7704.37082,-0.894206,-1.478629,-1.249778,-2.132778
ridge#1,-6.358398,-20180.801703,-1.80438,-1.470862,-4.283675,-6.358398
ridge#2,-6.379158,-20296.118146,-1.807603,-1.470551,-4.301272,-6.379158
pls#1,-9.303995,-1425.867176,-4.836529,-1.578045,-6.299625,-9.303995
