model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
rf#1,0.312581,-177.927281,0.785744,-1.557682,0.330945
N-En,0.287092,-4228.786477,0.674515,-1.380761,0.361853
rf#2,0.139254,-712.437111,0.729299,-1.182114,0.160727
pcr#2,0.060821,-0.630867,0.484922,-0.464747,0.070671
pcr#1,0.060821,-0.630867,0.484922,-0.464747,0.070671
lgbm_dart#2,-0.008976,-9178.608717,0.401774,-1.0883,-0.083516
L-En,-0.367068,-3921.51666,0.328493,-1.185881,0.107932
lgbm_gbdt#2,-0.404445,-4642.415509,0.049449,-1.00663,-0.343222
lgbm_dart#1,-0.450113,-15388.794831,-2.080591,-1.171086,-0.362079
lgbm_gbdt#1,-0.717213,-40831.530966,-1.292613,-1.280733,-0.715799
ffn#2,-2.574408,-3130.536642,-0.598346,-1.349814,-1.689762
pls#2,-2.624366,-11417.835368,-0.832141,-1.189845,-1.41428
ffn#1,-2.645443,-3124.045596,-0.611891,-1.274376,-1.718068
lasso#2,-2.90523,-6482.750134,-0.728784,-1.493821,-1.529002
lasso#1,-3.022304,-6603.976342,-0.75771,-1.491639,-1.600335
elasticnet#1,-3.593644,-7451.664921,-0.899505,-1.4665,-1.941183
elasticnet#2,-3.903645,-7743.239098,-0.976833,-1.469591,-2.132778
ridge#1,-10.839946,-20301.670116,-1.900231,-1.461695,-6.358398
ridge#2,-10.877847,-20418.43681,-1.903829,-1.461379,-6.379158
pls#1,-12.743383,-1405.878433,-4.831832,-1.575747,-9.303995
