model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#1,0.23282,0.187962,2.219173,2.290919,0.240767,0.23282
N-En,0.220465,0.176073,2.513065,2.602075,0.242425,0.220465
lgbm_gbdt#2,0.216439,0.16677,2.016974,2.111238,0.22367,0.216439
lgbm_gbdt#1,0.210214,0.169838,2.073725,2.240882,0.226924,0.210214
ffn#1,0.20367,0.173475,2.48925,2.616781,0.24066,0.20367
ffn#2,0.202724,0.173485,2.499854,2.629952,0.239289,0.202724
lgbm_dart#2,0.196132,0.153262,2.470941,2.519601,0.215941,0.196132
rf#2,0.194537,0.15007,2.496254,2.431348,0.203307,0.194537
rf#1,0.187382,0.143784,2.350639,2.258656,0.194723,0.187382
pls#2,0.181177,0.141321,2.621461,2.487445,0.191437,0.181177
pls#1,0.138201,0.083876,2.225724,2.736046,0.157948,0.138201
L-En,0.087399,0.068532,3.052662,3.045804,0.101445,0.087399
lasso#2,0.075891,0.058242,3.060158,3.186777,0.089837,0.075891
lasso#1,0.075848,0.058651,3.050214,3.176589,0.089928,0.075848
elasticnet#2,0.075279,0.062193,2.879262,3.000174,0.09162,0.075279
elasticnet#1,0.073333,0.060775,2.882551,3.018641,0.089262,0.073333
ridge#1,0.044765,0.076327,1.495606,2.470658,0.062899,0.044765
ridge#2,0.044444,0.076448,1.482704,2.468829,0.062558,0.044444
pcr#2,-0.010395,-0.000603,-3.212653,-2.669652,-0.012509,-0.010395
pcr#1,-0.010395,-0.000603,-3.212653,-2.669652,-0.012509,-0.010395
