model,IC_mean,IC_std,N
L-En,0.053362062809804794,0.49541656178316973,16
N-En,0.055180325122919184,0.5005132819574224,16
elasticnet#1,0.04185534778327378,0.4829681554418283,16
elasticnet#2,0.03942042674426496,0.48071529740259833,16
ffn#1,0.07197854002517873,0.5147873451048478,16
ffn#2,0.07448012295243135,0.5128506854128552,16
lasso#1,0.0409267050988548,0.4775664184613003,16
lasso#2,0.04380851014225545,0.47842695614833053,16
lgbm_dart#1,0.039947373515178686,0.4514165105744329,16
lgbm_dart#2,0.02912657617860956,0.4460930567029005,16
lgbm_gbdt#1,0.03360293406379301,0.4649773972291719,16
lgbm_gbdt#2,0.057075601542739246,0.46466027617865285,16
pcr#1,0.03854355752558094,0.44583775859701097,16
pcr#2,0.03854355752558094,0.44583775859701097,16
pls#1,0.02933867382797108,0.4822738545576553,16
pls#2,0.0803526407230525,0.48931670046864056,16
rf#1,0.055555615460584684,0.4785120316077734,16
rf#2,0.05252279579709114,0.48335396322512,16
ridge#1,0.043724951132558594,0.48792665335572255,16
ridge#2,0.04413179295400973,0.48685432727457917,16
