model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#1,0.163164,0.101079,3.370106,3.874267,0.160437,0.163164
N-En,0.15063,0.095766,3.925696,4.927692,0.15127,0.15063
lgbm_dart#2,0.146521,0.094705,3.670141,4.570383,0.148548,0.146521
pls#2,0.145638,0.080226,4.010881,4.795698,0.14185,0.145638
rf#2,0.144441,0.081107,4.373533,4.229616,0.138318,0.144441
ffn#1,0.135218,0.099282,3.651986,4.772183,0.145181,0.135218
L-En,0.075117,0.034547,5.18833,6.144256,0.070544,0.075117
lasso#2,0.064178,0.024527,5.29805,6.574794,0.060982,0.064178
elasticnet#2,0.062597,0.025827,5.312126,6.544941,0.060192,0.062597
ridge#1,0.058661,0.03625,4.103373,6.076396,0.05064,0.058661
pcr#1,-0.006152,-0.000156,-5.14459,-0.636719,-0.007359,-0.006152
