model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,53,2.587841,2.970064,6.343219,0.886792
N-En,53,2.754012,3.182184,6.300551,0.867925
elasticnet#2,53,2.727792,3.106834,6.391916,0.867925
ffn#1,53,2.725148,3.179915,6.238964,0.924528
lasso#2,53,2.762264,3.172334,6.339052,0.830189
lgbm_dart#2,53,2.720053,3.15109,6.284264,0.830189
lgbm_gbdt#1,53,2.717482,3.107369,6.366663,0.811321
pcr#1,53,-1.118214,3.198535,-2.54514,0.358491
pls#2,53,2.550779,3.102378,5.985715,0.849057
rf#2,53,2.524909,2.934413,6.264154,0.792453
ridge#1,53,2.513065,2.786921,6.564731,0.886792
