group,model,ic
2023-03-03,ridge#1,-0.6250480030721965
2023-03-06,ridge#1,-0.37010073260073256
2023-03-07,ridge#1,-0.7539724509581726
2023-03-08,ridge#1,0.6467477525118984
2023-03-09,ridge#1,-0.5802884615384616
2023-03-10,ridge#1,0.9044795783926223
2023-03-13,ridge#1,0.46378205128205136
2023-03-14,ridge#1,0.24638346727898972
2023-03-15,ridge#1,-0.33039348710990507
2023-03-16,ridge#1,0.5347992657035678
2023-03-17,ridge#1,-0.3676271051161304
2023-03-20,ridge#1,-0.07155399473222136
2023-03-21,ridge#1,0.05060260196344481
2023-03-22,ridge#1,0.42041816114075764
2023-03-23,ridge#1,-0.6039622857579109
2023-03-24,ridge#1,-0.680673756623124
2023-03-31,ridge#1,-0.4431859700401901
2023-04-03,ridge#1,-0.23804772926809817
2023-04-04,ridge#1,-0.6993774443291568
2023-04-05,ridge#1,-0.9639703580002094
2023-04-06,ridge#1,-0.8337977631026452
2023-04-07,ridge#1,0.46527502348397887
2023-04-10,ridge#1,0.395243036156118
2023-04-11,ridge#1,-0.7366874069549949
2023-04-12,ridge#1,0.08630759247242041
2023-04-13,ridge#1,-0.6531247505786577
2023-04-14,ridge#1,-0.6591783216783217
2023-04-17,ridge#1,-0.11057692307692303
2023-04-18,ridge#1,0.3277577104751319
2023-04-19,ridge#1,0.2953992596509785
2023-04-20,ridge#1,0.3544871794871797
2023-04-21,ridge#1,-0.8805506993006996
2023-05-01,ridge#1,0.5909530583214794
2023-05-02,ridge#1,0.1682527998317471
2023-05-03,ridge#1,-0.013723118986276863
2023-05-04,ridge#1,-0.23521531100478468
2023-05-05,ridge#1,0.28730006835269994
2023-05-08,ridge#1,-0.4563594300436405
2023-05-09,ridge#1,-0.35493520918178467
2023-05-10,ridge#1,-0.09644576082932245
2023-05-11,ridge#1,0.45751027906569847
2023-05-12,ridge#1,-0.28437457279562556
2023-05-15,ridge#1,-0.618978712457393
2023-05-16,ridge#1,-0.5025939819618486
2023-05-17,ridge#1,0.32500000000000007
2023-05-18,ridge#1,-0.6970716783216783
2023-05-19,ridge#1,-0.36933321949970105
2023-05-22,ridge#1,-0.5163556697136813
2023-06-02,ridge#1,-0.18341972109095395
2023-06-05,ridge#1,0.15646925028431463
2023-06-06,ridge#1,0.6526123492875414
2023-06-07,ridge#1,-0.4075995615637558
2023-06-08,ridge#1,-0.5220445089132345
2023-06-09,ridge#1,0.811716816984596
2023-06-12,ridge#1,-0.7407718441042873
2023-06-13,ridge#1,-0.08317307692307697
2023-06-14,ridge#1,0.3856206293706294
2023-06-15,ridge#1,0.363197996033817
2023-06-16,ridge#1,0.4565996503496503
2023-06-20,ridge#1,0.804214223002634
2023-06-21,ridge#1,-0.8603698435277384
2023-06-22,ridge#1,0.06227364185110662
2023-06-23,ridge#1,-0.8233005337963856
2023-06-30,ridge#1,0.30228091236494603
2023-07-03,ridge#1,-0.7261538461538461
2023-07-05,ridge#1,0.2769230769230768
2023-07-06,ridge#1,-0.6011269529582515
2023-07-07,ridge#1,0.1452488687782805
2023-07-10,ridge#1,-0.17276018099547516
2023-07-11,ridge#1,0.06081447963800911
2023-07-12,ridge#1,0.5660633484162895
2023-07-13,ridge#1,0.7257861635220125
2023-07-14,ridge#1,-0.880664408966296
2023-07-17,ridge#1,-0.11375565610859724
2023-07-18,ridge#1,0.11755656108597287
2023-07-19,ridge#1,-0.46492501209482373
2023-07-20,ridge#1,-0.18050420168067227
2023-07-21,ridge#1,0.06669683257918552
2023-07-28,ridge#1,-0.6876673713883017
2023-07-31,ridge#1,0.8226920366455254
2023-08-01,ridge#1,0.37950971322849225
2023-08-02,ridge#1,-0.6170135746606336
2023-08-03,ridge#1,0.006194477791116394
2023-08-04,ridge#1,-0.48984181437011637
2023-08-07,ridge#1,0.12582428054126163
2023-08-08,ridge#1,0.10486515071390805
2023-08-09,ridge#1,-0.6753569539925968
2023-08-10,ridge#1,0.34978354978354975
2023-08-11,ridge#1,-0.6713531536537929
2023-08-14,ridge#1,0.19499701186715618
2023-08-15,ridge#1,-0.11064298677728807
2023-08-16,ridge#1,0.661585782638414
2023-08-17,ridge#1,0.41455912508544074
2023-08-18,ridge#1,-0.7094326725905674
2023-08-22,ridge#1,-0.0021978021978022212
2023-08-23,ridge#1,0.2395604395604395
2023-08-24,ridge#1,-0.3647058823529412
2023-03-03,ridge#2,-0.6258640552995393
2023-03-06,ridge#2,-0.37010073260073256
2023-03-07,ridge#2,-0.7540228148371986
2023-03-08,ridge#2,0.6467477525118984
2023-03-09,ridge#2,-0.5802884615384616
2023-03-10,ridge#2,0.9038208168642953
2023-03-13,ridge#2,0.464285714285714
2023-03-14,ridge#2,0.24650871516543157
2023-03-15,ridge#2,-0.33039348710990507
2023-03-16,ridge#2,0.5359964881474978
2023-03-17,ridge#2,-0.3700215500039907
2023-03-20,ridge#2,-0.07155399473222136
2023-03-21,ridge#2,0.05060260196344481
2023-03-22,ridge#2,0.42041816114075764
2023-03-23,ridge#2,-0.6039622857579109
2023-03-24,ridge#2,-0.6811037064201619
2023-03-31,ridge#2,-0.4431859700401901
2023-04-03,ridge#2,-0.23772846994971683
2023-04-04,ridge#2,-0.6993774443291568
2023-04-05,ridge#2,-0.963511115749922
2023-04-06,ridge#2,-0.8337977631026452
2023-04-07,ridge#2,0.46527502348397887
2023-04-10,ridge#2,0.39384627663819965
2023-04-11,ridge#2,-0.7356949269000268
2023-04-12,ridge#2,0.0884452418215826
2023-04-13,ridge#2,-0.655120121318541
2023-04-14,ridge#2,-0.6591783216783217
2023-04-17,ridge#2,-0.10869963369963362
2023-04-18,ridge#2,0.3277577104751319
2023-04-19,ridge#2,0.2949233209941829
2023-04-20,ridge#2,0.3508699633699636
2023-04-21,ridge#2,-0.8826048951048957
2023-05-01,ridge#2,0.5917780938833571
2023-05-02,ridge#2,0.16746411483253584
2023-05-03,ridge#2,-0.014485514485514536
2023-05-04,ridge#2,-0.23475051264524954
2023-05-05,ridge#2,0.2906903622693096
2023-05-08,ridge#2,-0.4563594300436405
2023-05-09,ridge#2,-0.35223991114402065
2023-05-10,ridge#2,-0.09626064420584972
2023-05-11,ridge#2,0.4576502493220192
2023-05-12,ridge#2,-0.28672590567327416
2023-05-15,ridge#2,-0.618978712457393
2023-05-16,ridge#2,-0.5068241679304014
2023-05-17,ridge#2,0.32237762237762235
2023-05-18,ridge#2,-0.7038898601398607
2023-05-19,ridge#2,-0.36933321949970105
2023-05-22,ridge#2,-0.5211906021001739
2023-06-02,ridge#2,-0.18329631000863875
2023-06-05,ridge#2,0.1558743766949523
2023-06-06,ridge#2,0.6533065400073074
2023-06-07,ridge#2,-0.40763609791742783
2023-06-08,ridge#2,-0.5220445089132345
2023-06-09,ridge#2,0.811716816984596
2023-06-12,ridge#2,-0.7407718441042873
2023-06-13,ridge#2,-0.08435314685314685
2023-06-14,ridge#2,0.3856206293706294
2023-06-15,ridge#2,0.36482621855756187
2023-06-16,ridge#2,0.4565996503496503
