model,IC_mean,IC_std,N
L-En,-0.0996294213570059,0.4955356047528342,97
N-En,-0.08452869478656243,0.4643350402897196,97
elasticnet#1,-0.09906692362965967,0.12920401278174587,12
elasticnet#2,-0.07595045376571367,0.36585932388224274,29
ffn#1,-0.0035803705545087894,0.4723157975667125,97
ffn#2,-0.04886371445131737,0.4676765478185373,97
lasso#1,-0.17335273775719756,0.4708677480650138,65
lasso#2,-0.09877947529489989,0.40450830266104254,45
lgbm_dart#1,-0.06580649031451981,0.4214806549528704,97
lgbm_dart#2,-0.043485921153548594,0.3895527223561857,97
lgbm_gbdt#1,-0.06630656812022857,0.37378600294401126,97
lgbm_gbdt#2,-0.07671714408621459,0.4059113861549991,97
pcr#1,0.03671515540283724,0.3327650647207278,97
pcr#2,0.03671515540283724,0.3327650647207278,97
pls#1,-0.07347833769275117,0.4560220395751662,97
pls#2,-0.08053046828753087,0.4746847093617209,97
rf#1,-0.15415540410125417,0.43812878670665256,97
rf#2,-0.14591923603943718,0.43977208703554044,97
ridge#1,-0.09857670737729683,0.49598919777200273,97
ridge#2,-0.09855718798779245,0.49582387686580565,97
