model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,98,1.570651,2.300779,6.757994,0.72449
N-En,98,1.60664,2.333141,6.816957,0.734694
elasticnet#2,98,1.543494,2.270373,6.730091,0.734694
ffn#1,98,1.632445,2.405458,6.718213,0.77551
lasso#2,98,1.54543,2.289687,6.681688,0.72449
lgbm_dart#2,98,1.573633,2.286785,6.812259,0.734694
lgbm_gbdt#1,98,1.575534,2.338274,6.670299,0.72449
pcr#1,98,-0.949441,2.014808,-4.664953,0.336735
pls#2,98,1.620043,2.345964,6.836254,0.765306
rf#2,98,1.544586,2.266751,6.745611,0.714286
ridge#1,98,1.525832,2.210738,6.832543,0.714286
