model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.135841,0.079337,2.454452,2.070166,0.195323,0.135841
N-En,0.122616,0.081592,2.472191,2.092466,0.195608,0.122616
ffn#1,0.121239,0.103181,2.00433,1.745363,0.221802,0.121239
pls#1,0.118016,0.071557,2.013507,1.966882,0.196269,0.118016
lgbm_dart#1,0.11483,0.069615,2.153432,1.834686,0.16026,0.11483
L-En,0.098327,0.055202,2.663189,2.245931,0.152361,0.098327
lgbm_gbdt#2,0.09507,0.054797,2.80841,2.139478,0.146483,0.09507
lasso#1,0.08982,0.044527,2.797609,2.403193,0.138875,0.08982
ridge#2,0.089763,0.064193,2.097987,2.025769,0.144233,0.089763
elasticnet#2,0.087011,0.044187,2.782717,2.457251,0.137829,0.087011
pcr#2,0.058388,0.029132,2.646953,2.117038,0.082214,0.058388
