group,model,ic
2023-03-03,L-En,-0.9583333333333331
2023-03-06,L-En,-0.18885448916408665
2023-03-07,L-En,-0.04411764705882353
2023-03-10,L-En,0.8351214003387918
2023-03-13,L-En,-0.05731225296442694
2023-03-14,L-En,-0.3519091847265223
2023-03-15,L-En,0.6064935064935065
2023-03-16,L-En,-0.7009803921568629
2023-03-17,L-En,-0.3759398496240601
2023-03-20,L-En,-0.463157894736842
2023-03-21,L-En,0.7438596491228068
2023-03-22,L-En,0.41382868937048517
2023-03-24,L-En,0.7142857142857143
2023-03-31,L-En,-0.3218045112781956
2023-04-03,L-En,-0.21954887218045122
2023-04-04,L-En,0.7441176470588236
2023-04-06,L-En,-0.1684210526315789
2023-04-07,L-En,0.9571428571428572
2023-04-10,L-En,-0.4241486068111455
2023-04-11,L-En,-0.55
2023-04-12,L-En,-0.5852941176470589
2023-04-13,L-En,-0.02142857142857143
2023-04-18,L-En,0.9384615384615386
2023-04-19,L-En,0.9607843137254902
2023-04-20,L-En,0.9607843137254901
2023-05-01,L-En,-0.6631813125695216
2023-05-02,L-En,0.17903225806451617
2023-05-03,L-En,-0.862967914438503
2023-05-04,L-En,0.49588431590656273
2023-05-05,L-En,0.907142857142857
2023-05-08,L-En,0.5736263736263737
2023-05-09,L-En,-0.422077922077922
2023-05-10,L-En,0.7417391304347827
2023-05-11,L-En,0.9172932330827066
2023-05-12,L-En,-0.5562435500515995
2023-05-15,L-En,0.05304347826086954
2023-05-16,L-En,0.3464285714285714
2023-06-02,L-En,0.9285714285714288
2023-06-05,L-En,-0.006015037593984872
2023-06-06,L-En,0.9535714285714286
2023-06-07,L-En,-0.12781954887218047
2023-06-15,L-En,-0.15000000000000002
2023-06-20,L-En,0.37857142857142856
2023-07-03,L-En,-0.33333333333333326
2023-07-05,L-En,0.27058823529411774
2023-07-06,L-En,-0.7382352941176471
2023-07-07,L-En,-0.18627450980392146
2023-07-10,L-En,0.5912087912087911
2023-07-12,L-En,0.21323529411764688
2023-07-13,L-En,0.8264705882352941
2023-07-14,L-En,-0.31176470588235283
2023-08-15,L-En,-0.6151960784313726
2023-08-16,L-En,0.8941176470588236
2023-03-03,N-En,-0.9583333333333331
2023-03-06,N-En,-0.16202270381836945
2023-03-07,N-En,0.011764705882352941
2023-03-10,N-En,0.8339920948616603
2023-03-13,N-En,-0.06422924901185774
2023-03-14,N-En,-0.38080495356037153
2023-03-15,N-En,0.5857142857142856
2023-03-16,N-En,-0.7058823529411764
2023-03-17,N-En,-0.3879699248120301
2023-03-20,N-En,-0.5105263157894737
2023-03-21,N-En,0.6508771929824562
2023-03-22,N-En,0.4489164086687308
2023-03-24,N-En,0.7142857142857143
2023-03-31,N-En,-0.4706766917293233
2023-04-03,N-En,-0.10977443609022557
2023-04-04,N-En,0.711764705882353
2023-04-06,N-En,-0.18771929824561404
2023-04-07,N-En,0.9571428571428573
2023-04-10,N-En,-0.5335397316821465
2023-04-11,N-En,-0.5647058823529413
2023-04-12,N-En,-0.6382352941176471
2023-04-13,N-En,-0.05000000000000005
2023-04-18,N-En,0.9472527472527473
2023-04-19,N-En,0.9779411764705882
2023-04-20,N-En,0.946078431372549
2023-05-01,N-En,-0.6324805339265851
2023-05-02,N-En,0.20120967741935483
2023-05-03,N-En,-0.8589572192513371
2023-05-04,N-En,0.4820912124582872
2023-05-05,N-En,0.9821428571428571
2023-05-08,N-En,0.556043956043956
2023-05-09,N-En,-0.41948051948051956
2023-05-10,N-En,0.7417391304347827
2023-05-11,N-En,0.9022556390977442
2023-05-12,N-En,-0.5768833849329207
2023-05-15,N-En,0.021739130434782584
2023-05-16,N-En,0.2857142857142857
2023-06-02,N-En,0.9259740259740262
2023-06-05,N-En,-0.012030075187969882
2023-06-06,N-En,0.9607142857142857
2023-06-07,N-En,-0.13233082706766916
2023-06-15,N-En,-0.21470588235294116
2023-06-20,N-En,0.4785714285714286
2023-07-03,N-En,-0.2941176470588235
2023-07-05,N-En,0.2823529411764707
2023-07-06,N-En,-0.7382352941176471
2023-07-07,N-En,-0.28921568627450983
2023-07-10,N-En,0.6307692307692305
2023-07-12,N-En,0.2230392156862745
2023-07-13,N-En,0.811764705882353
2023-07-14,N-En,-0.25588235294117645
2023-08-15,N-En,-0.6102941176470589
2023-08-16,N-En,0.9117647058823529
2023-03-03,elasticnet#2,-0.9583333333333331
2023-03-06,elasticnet#2,-0.15170278637770893
2023-03-07,elasticnet#2,-0.06764705882352937
2023-03-10,elasticnet#2,0.7865612648221345
2023-03-13,elasticnet#2,-0.0760869565217392
2023-03-14,elasticnet#2,-0.3519091847265223
