model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
N-En,0.212404,-0.174211,0.85667,-1.016405,0.215615,0.212404
lgbm_gbdt#2,0.165576,-0.742611,0.713615,-1.011306,0.198908,0.165576
lgbm_dart#1,0.159565,-0.51897,0.628654,-0.9654,0.192019,0.159565
pcr#2,-0.017157,-0.054202,-0.229594,-0.99202,-0.030518,-0.017157
rf#1,-0.020952,-0.031335,-0.160251,-0.53702,-0.03057,-0.020952
L-En,-0.429551,0.042253,-1.605854,0.199661,-0.479284,-0.429551
elasticnet#2,-0.578088,0.050637,-2.016443,0.156633,-0.630968,-0.578088
lasso#1,-0.644733,0.008867,-2.14488,0.026657,-0.692116,-0.644733
ffn#1,-1.113187,0.246214,-2.514428,0.70559,-1.192601,-1.113187
ridge#2,-1.947423,0.381135,-3.61247,1.093873,-2.124091,-1.947423
pls#1,-1.955357,-0.331441,-4.146034,-1.392464,-2.094347,-1.955357
