model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.161725,-0.117874,0.924495,-1.022787,0.212404
lgbm_dart#1,0.135335,-0.337845,0.751858,-0.953368,0.159565
lgbm_gbdt#2,0.111446,-0.471802,0.826186,-0.999302,0.165576
pcr#2,0.058471,-0.068718,-0.10243,-0.98766,-0.017157
rf#1,-0.101273,-0.042924,-0.112375,-0.539062,-0.020952
L-En,-0.594297,-0.052559,-1.552842,0.009247,-0.429551
elasticnet#2,-0.784715,-0.094719,-1.957836,-0.037147,-0.578088
lasso#1,-0.871706,-0.141074,-2.088472,-0.169579,-0.644733
ffn#1,-1.31343,0.102483,-2.479026,0.603013,-1.113187
pls#1,-2.21231,-0.340468,-4.112134,-1.359061,-1.955357
ridge#2,-2.466808,0.274385,-3.575423,1.112621,-1.947423
