group,model,ic
2023-03-31,ridge#1,-0.2535714285714285
2023-03-31,ridge#2,-0.2535714285714285
2023-03-31,lasso#1,-0.3392857142857143
2023-03-31,lasso#2,-0.3392857142857143
2023-03-31,elasticnet#1,-0.38571428571428573
2023-03-31,elasticnet#2,-0.3392857142857143
2023-03-31,pcr#1,-0.8142857142857143
2023-03-31,pcr#2,-0.8142857142857143
2023-03-31,pls#1,-0.8142857142857143
2023-03-31,pls#2,-0.8214285714285716
2023-03-31,L-En,-0.6214285714285714
2023-03-31,ffn#1,-0.8642857142857144
2023-03-31,ffn#2,-0.8642857142857144
2023-03-31,rf#1,-0.2535714285714286
2023-03-31,rf#2,-0.2591600677389407
2023-03-31,lgbm_gbdt#1,0.6546536707079771
2023-03-31,lgbm_gbdt#2,0.6546536707079771
2023-03-31,lgbm_dart#1,-0.762076353565438
2023-03-31,lgbm_dart#2,-0.9517009861427536
2023-03-31,N-En,-0.8642857142857144
