model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,1,-0.072495,,,0.0
N-En,1,-0.233943,,,0.0
elasticnet#1,1,0.040924,,,1.0
elasticnet#2,1,0.040924,,,1.0
ffn#1,1,-0.233943,,,0.0
ffn#2,1,-0.233943,,,0.0
lasso#1,1,0.040924,,,1.0
lasso#2,1,0.040924,,,1.0
lgbm_dart#1,1,-0.23118,,,0.0
lgbm_dart#2,1,-0.233943,,,0.0
lgbm_gbdt#1,1,0.217928,,,1.0
lgbm_gbdt#2,1,0.217928,,,1.0
pcr#1,1,-0.180732,,,0.0
pcr#2,1,-0.180732,,,0.0
pls#1,1,-0.180732,,,0.0
pls#2,1,-0.180732,,,0.0
rf#1,1,0.038627,,,1.0
rf#2,1,0.037499,,,1.0
ridge#1,1,0.037499,,,1.0
ridge#2,1,0.037499,,,1.0
