model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#1,0.1245,0.035235,1.657019,0.674207,0.184246
rf#2,0.111107,0.029325,1.667471,0.723741,0.169852
rf#1,0.102038,0.020705,1.640703,0.573281,0.165117
N-En,0.096944,0.035859,1.659022,0.916775,0.156405
pls#1,0.093689,0.025752,1.472942,0.898859,0.182538
pcr#1,0.083732,0.014219,1.493099,1.506978,0.096369
pcr#2,0.083732,0.014219,1.493099,1.506978,0.096369
lgbm_dart#2,0.083405,0.033887,1.800128,0.720265,0.123182
lgbm_gbdt#2,0.067384,0.020642,1.753639,0.273418,0.087955
lgbm_gbdt#1,0.067342,0.020653,1.753743,0.271257,0.087928
L-En,0.063893,0.028322,1.6588,1.38084,0.108138
pls#2,0.052258,0.026241,1.379032,0.907806,0.158082
lasso#1,0.044601,0.025605,1.628072,1.472411,0.080042
lasso#2,0.044577,0.025621,1.627782,1.472702,0.080069
elasticnet#2,0.042292,0.025885,1.625136,1.482559,0.078936
elasticnet#1,0.039168,0.025784,1.622382,1.490926,0.075978
ridge#2,0.038225,0.032726,1.530787,1.431123,0.095423
ridge#1,0.037922,0.032356,1.526685,1.433311,0.094665
ffn#1,0.003802,0.031707,1.063334,1.043679,0.163933
ffn#2,-0.003954,0.029857,1.038432,1.020312,0.161066
