model,IC_mean,IC_std,N
L-En,0.5208791208791209,,1
N-En,0.49890109890109885,,1
elasticnet#1,0.5208791208791209,,1
elasticnet#2,0.5032967032967033,,1
ffn#1,0.5164835164835165,,1
ffn#2,0.5164835164835165,,1
lasso#1,0.5076923076923077,,1
lasso#2,0.5076923076923077,,1
lgbm_dart#1,0.49336378882821275,,1
lgbm_dart#2,0.4083925012498613,,1
lgbm_gbdt#1,0.319507796213691,,1
lgbm_gbdt#2,0.319507796213691,,1
pcr#1,0.5076923076923077,,1
pcr#2,0.5076923076923077,,1
pls#1,0.5076923076923077,,1
pls#2,0.5076923076923077,,1
rf#1,0.27472527472527475,,1
rf#2,0.24395604395604395,,1
ridge#1,0.5208791208791209,,1
ridge#2,0.5208791208791209,,1
