model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.107619,0.09536,1.066205,1.094493,0.103146
lgbm_gbdt#1,0.048251,0.04027,0.05492,0.124959,0.104236
L-En,0.042575,0.077727,0.229475,0.569859,0.114763
pcr#1,0.029141,0.062073,0.488056,1.171767,0.076694
pcr#2,0.02914,0.062073,0.487994,1.171718,0.076696
lgbm_dart#1,0.003999,0.031905,-0.334266,0.005444,0.070596
rf#2,-0.033323,-0.002728,-0.568423,-0.352193,0.063752
N-En,-0.043776,0.00233,-0.720168,-0.337459,0.073654
rf#1,-0.064318,0.012996,-0.793338,-0.251287,0.064408
lasso#2,-0.085722,0.105043,-0.775494,1.212296,0.1041
lasso#1,-0.085736,0.105085,-0.775377,1.213762,0.104088
elasticnet#1,-0.088612,0.103698,-0.799747,1.182544,0.10403
elasticnet#2,-0.090898,0.103153,-0.817935,1.157886,0.104325
lgbm_dart#2,-0.13316,-0.133706,-1.005839,-0.978591,-0.013039
ridge#2,-0.204536,0.093682,-1.381467,0.91923,0.107445
ridge#1,-0.208699,0.0924,-1.40766,0.907734,0.106659
ffn#1,-0.258785,-0.149744,-2.049192,-1.406451,0.064338
pls#1,-0.717262,-0.293878,-2.275905,-1.627705,0.070514
pls#2,-0.730196,-0.312232,-2.442905,-1.587879,0.026689
ffn#2,-0.782535,-0.348697,-3.23735,-2.021891,-0.088534
