model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.112457,-0.01495,-0.219406,-1.0,-0.082941,0.112457
L-En,0.053659,0.406364,-0.627766,1.0,-0.409373,0.053659
pcr#1,-0.087968,-0.007444,-1.115334,-1.0,-0.548608,-0.087968
pcr#2,-0.087996,-0.007448,-1.115417,-1.0,-0.548665,-0.087996
lasso#2,-0.223502,0.58748,-1.147656,1.0,-1.006173,-0.223502
lasso#1,-0.223803,0.586962,-1.148422,1.0,-1.006419,-0.223803
elasticnet#1,-0.228577,0.601745,-1.146843,1.0,-1.024796,-0.228577
elasticnet#2,-0.237871,0.61224,-1.154785,1.0,-1.047787,-0.237871
N-En,-0.277666,-0.416841,-1.359822,-1.0,-0.730076,-0.277666
rf#2,-0.570409,-0.146384,-1.423465,-1.0,-0.990709,-0.570409
ffn#2,-0.728438,0.760441,-1.948844,1.0,-2.034946,-0.728438
lgbm_gbdt#2,-0.751925,-1.755048,-2.272523,-1.0,-0.974665,-0.751925
ffn#1,-1.292187,0.799584,-2.531938,1.0,-2.981278,-1.292187
lgbm_dart#1,-1.440478,-1.292132,-1.951117,-1.0,-2.364452,-1.440478
ridge#1,-1.451417,0.831407,-2.36008,1.0,-3.40693,-1.451417
ridge#2,-1.46257,0.833872,-2.373049,1.0,-3.434085,-1.46257
lgbm_dart#2,-1.796393,-0.496234,-2.617247,-1.0,-3.026444,-1.796393
lgbm_gbdt#1,-3.507669,-3.452963,-1.993915,-1.0,-5.356712,-3.507669
pls#2,-6.129441,-0.400089,-3.290419,-1.0,-11.234459,-6.129441
pls#1,-9.050014,-0.339035,-3.736124,-1.0,-17.077442,-9.050014
