model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.306784,0.001788,0.752804,-0.119252,0.318228
N-En,0.256433,-0.007538,0.76246,-0.2892,0.283886
lgbm_dart#2,0.226241,0.099341,0.909494,0.376141,0.230283
rf#2,0.186733,-0.057345,0.758613,-0.601381,0.22336
rf#1,0.167538,-0.053249,0.668699,-0.451517,0.215555
lgbm_dart#1,0.068647,0.014342,0.459592,0.111072,0.093434
L-En,-0.022495,-0.221927,0.204364,-0.979517,0.025447
elasticnet#1,-0.112016,-0.355128,0.071165,-1.013472,-0.044948
elasticnet#2,-0.118113,-0.355627,0.03845,-1.010333,-0.054229
pcr#2,-0.122176,-0.09133,-0.795403,-0.943141,-0.102045
pcr#1,-0.122176,-0.09133,-0.795403,-0.943141,-0.102045
lasso#1,-0.222458,-0.409761,-0.35623,-1.03422,-0.141963
lasso#2,-0.277859,-0.432728,-0.856474,-1.032267,-0.199136
ridge#1,-0.585699,0.06064,-0.45876,0.523778,-0.390272
ridge#2,-0.604198,0.067903,-0.475807,0.559162,-0.406345
lgbm_gbdt#1,-0.802579,0.028355,-1.606479,0.834642,-0.816067
ffn#2,-0.854764,-0.164147,-0.705517,-0.746395,-0.653569
ffn#1,-0.866206,-0.154787,-0.715925,-0.713305,-0.674264
pls#1,-0.957136,-0.340996,-1.669702,-0.994832,-0.930013
pls#2,-3.988123,-0.464494,-3.517999,-1.068745,-3.535546
