model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
L-En,0.014477,0.028103,0.616938,0.641047,0.112692
lgbm_gbdt#2,0.012353,0.030598,0.507529,0.60555,0.107108
pcr#2,0.008941,0.059846,0.230363,1.489768,0.07582
pcr#1,0.008941,0.059846,0.230363,1.489768,0.07582
lgbm_dart#2,0.00202,0.055691,0.542404,1.022919,0.106263
elasticnet#1,-0.020531,0.03569,0.443034,0.980807,0.097746
elasticnet#2,-0.020994,0.037118,0.407802,1.011015,0.095967
lasso#2,-0.044636,0.038672,-0.036024,1.140676,0.087438
lasso#1,-0.046949,0.034462,0.125088,0.989529,0.098262
N-En,-0.064819,-0.036303,0.0977,-0.099918,0.10623
lgbm_gbdt#1,-0.098382,0.059026,-1.748466,1.115517,0.119464
ridge#1,-0.19365,-0.016278,-0.048462,0.412901,0.087265
ridge#2,-0.197748,-0.016663,-0.059102,0.415914,0.086849
rf#2,-0.231446,-0.165267,-0.578869,-0.724135,0.037367
lgbm_dart#1,-0.238312,-0.032903,-0.943474,-0.073031,0.096651
ffn#2,-0.301484,-0.255802,-0.658373,-1.716249,0.096726
rf#1,-0.303379,-0.189026,-0.790535,-0.89286,0.018981
pls#1,-0.453457,-0.129944,-3.880121,-0.871422,0.077113
ffn#1,-0.542362,-0.444513,-1.190593,-2.362298,0.038258
pls#2,-0.96523,-0.433554,-2.345597,-1.995619,0.113406
