model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,6,2.055275,2.734104,1.841325,0.666667
N-En,6,1.913963,2.551641,1.83734,0.666667
elasticnet#1,6,2.055495,2.734455,1.841286,0.666667
elasticnet#2,6,2.055495,2.734455,1.841286,0.666667
ffn#1,6,2.053789,2.735445,1.839092,0.5
ffn#2,6,2.053964,2.735286,1.839356,0.5
lasso#1,6,2.055495,2.734455,1.841286,0.666667
lasso#2,6,1.913408,2.55214,1.836448,0.5
lgbm_dart#1,6,1.921257,2.559077,1.838983,0.5
lgbm_dart#2,6,1.915131,2.550528,1.839264,0.666667
lgbm_gbdt#1,6,1.537762,2.159489,1.74427,0.666667
lgbm_gbdt#2,6,1.988012,2.632562,1.849763,0.5
pcr#1,6,2.055275,2.734104,1.841325,0.666667
pcr#2,6,2.055275,2.734104,1.841325,0.666667
pls#1,6,2.053789,2.735445,1.839092,0.5
pls#2,6,2.055275,2.734104,1.841325,0.666667
rf#1,6,1.913209,2.552931,1.835688,0.5
rf#2,6,1.913209,2.552931,1.835688,0.5
ridge#1,6,2.055275,2.734104,1.841325,0.666667
ridge#2,6,2.055275,2.734104,1.841325,0.666667
