model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 4.430375245218266}",-0.309815219697657,"[-0.428279417419247, -0.19135102197606702]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 13.981961408994046}",-0.13955555821766885,"[-0.11741370517145433, -0.16169741126388337]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 6.431172050131989}",-0.24222481844920973,"[-0.299345078131964, -0.18510455876645548]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 4.31171005868549}",-0.31531561062843616,"[-0.43891451278996385, -0.19171670846690847]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.8662266976517967}",-0.5269359914095583,"[-0.8548646390686396, -0.1990073437504769]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 8.663279761354557}",-0.19767050207229386,"[-0.21726623724310823, -0.1780747669014795]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.0547625125911337}",-0.49843031556850526,"[-0.7983928968724956, -0.19846773426451492]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 47.34989304499475}",-0.029812561499849344,"[0.023347459802418147, -0.08297258280211683]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 77.80155576901412}",0.00805527881239465,"[0.0535691742876887, -0.0374586166628994]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.4135935551752299}",-0.615270909725318,"[-1.0302600977090668, -0.2002817217415691]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 23.72330072992193}",-0.0878459554978841,"[-0.04124905907293108, -0.13444285192283711]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 3.860866271460544}",-0.3385446335403667,"[-0.483990635802922, -0.19309863127781135]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.059803874660431}",-0.2840651259949577,"[-0.37873018021535976, -0.18940007177455565]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 59.812219011525556}",-0.011592723299705121,"[0.038959620769512315, -0.06214506736892256]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.16334587611069498}",-1.7497540733751307,"[-3.2958961075494457, -0.2036120392008156]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.18255254802399}",-1.6636448878752774,"[-3.123726411650402, -0.2035633641001524]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.11498870747119451}",-2.0399690101189147,"[-3.876203817675912, -0.2037342025619171]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 31.46730406166004}",-0.0632541088512244,"[-0.011013262494794285, -0.11549495520765451]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 21.600820741402043}",-0.09637587225014643,"[-0.05270382718259281, -0.14004791731770005]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 40.7414465416623}",-0.041873190756747225,"[0.011836040056776298, -0.09558242157027075]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 86.26905220714896}",0.015476870618508831,"[0.058528375961770185, -0.027574634724752523]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 24.973286104060584}",-0.08325992640294066,"[-0.03529249410739932, -0.131227358698482]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.4234724484675927}",-0.45207070654099846,"[-0.7067423225196245, -0.19739909056237237]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 21.957734465394555}",-0.09486861723653206,"[-0.05064477495863695, -0.13909245951442717]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.2263722969739548}",-1.5064198265127002,"[-2.809387664528508, -0.2034519884968926]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 8.313101133778733}",-0.20340033194835727,"[-0.22762450153907632, -0.17917616235763822]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.26919058249260697}",-1.389296992979034,"[-2.5752512587221643, -0.20334272723590385]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 68.23493012435793}",-0.0016231274652621086,"[0.04664861568126899, -0.04989487061179321]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 3.6774346621052136}",-0.34922400622551186,"[-0.5047908926369238, -0.19365711981409994]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.7538232373118046}",-0.5459087039142855,"[-0.8924907221876608, -0.19932668564091016]",3,1,60,True,
