model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#2,0.128234,0.100933,1.096258,1.243404,0.118373,0.128234
rf#1,0.121383,0.09929,1.075466,1.286205,0.11015,0.121383
N-En,0.114709,0.088624,1.566413,1.702234,0.105889,0.114709
lgbm_dart#1,0.112703,0.08806,1.584512,1.598404,0.108579,0.112703
lgbm_gbdt#1,0.108083,0.077855,1.904419,1.95112,0.103447,0.108083
lgbm_dart#2,0.094554,0.06659,1.752087,1.743618,0.090663,0.094554
pls#2,0.088638,0.085631,0.703565,1.190699,0.055537,0.088638
lgbm_gbdt#2,0.08862,0.062653,2.033743,2.09197,0.086079,0.08862
pls#1,0.084258,0.079353,0.992334,1.696664,0.070005,0.084258
L-En,0.076534,0.064912,1.838968,2.064188,0.068673,0.076534
lasso#1,0.061619,0.05419,1.694604,2.119978,0.05519,0.061619
ffn#2,0.059695,0.072968,0.885208,1.682854,0.044064,0.059695
pcr#1,0.058237,0.036703,2.536744,2.496076,0.056469,0.058237
pcr#2,0.058237,0.036703,2.536744,2.496076,0.056469,0.058237
elasticnet#1,0.0577,0.049331,1.731986,2.18722,0.051869,0.0577
lasso#2,0.057495,0.049005,1.734163,2.195238,0.051609,0.057495
elasticnet#2,0.057377,0.049058,1.733518,2.190762,0.051595,0.057377
ffn#1,0.050355,0.082799,0.453506,1.45649,0.030909,0.050355
ridge#2,0.044274,0.07523,0.980665,1.907059,0.033842,0.044274
ridge#1,0.043767,0.074511,0.965678,1.910754,0.033185,0.043767
