group,model,ic
2023-06-05,ridge#1,-0.5516483516483517
2023-06-05,ridge#2,-0.5516483516483517
2023-06-05,lasso#1,-0.5824175824175825
2023-06-05,lasso#2,-0.5824175824175825
2023-06-05,elasticnet#1,-0.5824175824175825
2023-06-05,elasticnet#2,-0.5824175824175825
2023-06-05,pcr#1,-0.4901098901098901
2023-06-05,pcr#2,-0.4901098901098901
2023-06-05,pls#1,-0.43736263736263725
2023-06-05,pls#2,-0.4637362637362637
2023-06-05,L-En,-0.4901098901098901
2023-06-05,ffn#1,-0.4901098901098901
2023-06-05,ffn#2,-0.4901098901098901
2023-06-05,rf#1,-0.5604395604395604
2023-06-05,rf#2,-0.5384615384615384
2023-06-05,lgbm_gbdt#1,-0.5468342531427497
2023-06-05,lgbm_gbdt#2,-0.4150350126528435
2023-06-05,lgbm_dart#1,-0.605060872185767
2023-06-05,lgbm_dart#2,-0.4356438279737522
2023-06-05,N-En,-0.5516483516483517
