model,IC_mean,IC_std,N
L-En,0.2313909774436091,0.5333060786172574,7
N-En,0.22027246305220657,0.5699571259977291,7
elasticnet#1,0.20836545144373544,0.5512952336734201,7
elasticnet#2,0.20521419093953375,0.5497471243128571,7
ffn#1,0.20275636570417646,0.5745302250669194,7
ffn#2,0.21240601503759407,0.5692640441008734,7
lasso#1,0.20494566247551657,0.5468043671656234,7
lasso#2,0.20836545144373544,0.5512952336734201,7
lgbm_dart#1,0.1921307602140593,0.5497437485709226,7
lgbm_dart#2,0.17830647213062947,0.5791521059139195,7
lgbm_gbdt#1,0.18284443778172152,0.5441659334021723,7
lgbm_gbdt#2,0.17763209680644285,0.5576106258473525,7
pcr#1,0.24241959941871485,0.5453363303105243,7
pcr#2,0.24241959941871485,0.5453363303105243,7
pls#1,0.24208630820749358,0.5282845060057395,7
pls#2,0.2342089467365894,0.5295683653062799,7
rf#1,0.2113239054665976,0.582519913256363,7
rf#2,0.2180102184414436,0.5802221196385696,7
ridge#1,0.18490740793925226,0.5377521522112659,7
ridge#2,0.18490740793925226,0.5377521522112659,7
