model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#2,0.090783,-0.291328,0.7617,-1.796795,0.094184,0.090783
lgbm_gbdt#2,0.029465,-0.311004,0.255638,-1.574566,0.031627,0.029465
rf#2,-0.019435,-0.328957,-1.053973,-2.006651,-0.149985,-0.019435
pcr#2,-0.032533,-0.01541,-0.729703,-1.070212,-0.09368,-0.032533
pcr#1,-0.032533,-0.01541,-0.729703,-1.070212,-0.09368,-0.032533
lgbm_gbdt#1,-0.071616,-0.198078,-0.556588,-1.821946,-0.065266,-0.071616
rf#1,-0.074623,-0.443948,-1.314151,-2.51738,-0.16225,-0.074623
lasso#1,-0.081071,-0.417998,-1.013404,-2.182987,-0.162794,-0.081071
lasso#2,-0.081336,-0.418235,-1.015163,-2.183266,-0.162924,-0.081336
elasticnet#1,-0.090801,-0.42344,-1.07454,-2.192682,-0.169739,-0.090801
L-En,-0.096449,-0.497153,-0.999691,-2.207228,-0.153186,-0.096449
elasticnet#2,-0.098136,-0.429215,-1.121061,-2.20006,-0.173077,-0.098136
lgbm_dart#1,-0.194097,-0.50325,-0.330353,-2.060074,-0.05301,-0.194097
N-En,-0.263702,-0.464649,-1.427236,-1.941498,-0.265368,-0.263702
ridge#1,-0.548207,-0.899167,-1.163598,-2.329791,-0.252981,-0.548207
ridge#2,-0.563534,-0.907263,-1.171093,-2.324616,-0.258173,-0.563534
pls#2,-1.253539,-2.144675,-2.485508,-4.013421,-0.647248,-1.253539
pls#1,-1.575253,-1.083238,-2.444007,-2.991931,-1.517772,-1.575253
ffn#2,-1.736735,-1.220415,-2.048217,-2.743417,-1.594652,-1.736735
ffn#1,-3.119322,-1.453703,-2.426935,-2.598885,-2.303289,-3.119322
