model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
ffn#2,0.20767992710832395,0.03778252871528909,1.3827616129361797,0.5270767633300216,0.19694514143541475,0.20767992710832395
ffn#1,0.1982196208844318,0.02887818866632108,1.277135779624855,0.3610252657567442,0.18790439951168025,0.1982196208844318
pls#2,0.15823760565316214,-0.02146444557397209,0.9326816670629489,-0.36022871988105176,0.14451748536176923,0.15823760565316214
N-En,0.12924480488950973,0.015975255967363045,1.0539074916867917,0.3104432019181342,0.12400083823071695,0.12924480488950973
lgbm_gbdt#2,0.11093556263828741,0.0072744824389273655,0.757201081086321,0.051099418850187414,0.10189354050988264,0.11093556263828741
rf#2,0.10236246725098197,-0.003541045845310009,0.7476524465367119,-0.10995876722023067,0.09851970880841576,0.10236246725098197
rf#1,0.08947683683027119,-0.009243479576092506,0.6169334618721642,-0.2404039026193006,0.08489194897834562,0.08947683683027119
lgbm_dart#1,0.04515675259602803,-0.009129746726452836,0.7500380843685855,-0.694904418022183,0.04328832478692468,0.04515675259602803
lgbm_gbdt#1,0.03330797607762903,-0.007600330980441328,0.2589020480465654,-0.24105227284472533,0.029801782944666177,0.03330797607762903
lgbm_dart#2,0.02539654241932443,-0.004127464965451466,0.6152532965759624,-0.47436546991147377,0.02530864455177262,0.02539654241932443
elasticnet#1,0.008399835691041302,0.012005287821631017,0.02295087986759619,0.6696676156178585,0.002578280898972274,0.008399835691041302
pcr#2,0.002870206527307295,0.002681223083591644,-0.09467036107610348,0.4806530112111964,-0.005819674708947176,0.002870206527307295
pcr#1,0.002867727375687301,0.0026811523181069497,-0.0947089120684807,0.48065543786169684,-0.005822082371281789,0.002867727375687301
L-En,-0.00035785399636423243,-0.03566845381027339,-0.06699142525146712,-0.7220696006607752,-0.009744463081305499,-0.00035785399636423243
pls#1,-0.009050465786898387,-0.18263841285522475,-0.08134147539286793,-1.7977406553781117,-0.016121445331169326,-0.009050465786898387
lasso#2,-0.09609000859974381,0.0,-1.1277221960314328,,-0.10270839891808103,-0.09609000859974381
lasso#1,-0.09609000859974381,0.0,-1.1277221960314328,,-0.10270839891808103,-0.09609000859974381
elasticnet#2,-0.09609000859974381,0.0,-1.1277221960314328,,-0.10270839891808103,-0.09609000859974381
ridge#1,-0.9649819022400477,-0.5741559326413836,-3.221139431336052,-3.425601071006114,-1.0024655852961772,-0.9649819022400477
ridge#2,-0.9682471790416372,-0.5741190414180264,-3.223804467585062,-3.424590003910186,-1.005683773755949,-0.9682471790416372
