group,model,ic
2023-07-03,ridge#1,-0.34778121775025794
2023-07-05,ridge#1,0.27058823529411774
2023-07-06,ridge#1,-0.7915376676986584
2023-07-07,ridge#1,-0.04024767801857591
2023-07-10,ridge#1,0.5912087912087911
2023-07-12,ridge#1,0.16421568627450966
2023-07-13,ridge#1,0.8264705882352941
2023-07-14,ridge#1,-0.25588235294117645
2023-07-03,ridge#2,-0.34778121775025794
2023-07-05,ridge#2,0.27058823529411774
2023-07-06,ridge#2,-0.7915376676986584
2023-07-07,ridge#2,-0.04024767801857591
2023-07-10,ridge#2,0.5912087912087911
2023-07-12,ridge#2,0.16421568627450966
2023-07-13,ridge#2,0.8264705882352941
2023-07-14,ridge#2,-0.25588235294117645
2023-07-03,lasso#1,-0.3126934984520122
2023-07-05,lasso#1,0.27058823529411774
2023-07-06,lasso#1,-0.7461300309597523
2023-07-07,lasso#1,-0.16202270381836945
2023-07-10,lasso#1,0.5912087912087911
2023-07-12,lasso#1,0.21323529411764702
2023-07-13,lasso#1,0.8264705882352941
2023-07-14,lasso#1,-0.31176470588235283
2023-07-03,lasso#2,-0.3126934984520122
2023-07-05,lasso#2,0.27058823529411774
2023-07-06,lasso#2,-0.7461300309597523
2023-07-07,lasso#2,-0.16202270381836945
2023-07-10,lasso#2,0.5912087912087911
2023-07-12,lasso#2,0.21323529411764702
2023-07-13,lasso#2,0.8264705882352941
2023-07-14,lasso#2,-0.31176470588235283
2023-07-03,elasticnet#1,-0.3126934984520122
2023-07-05,elasticnet#1,0.27058823529411774
2023-07-06,elasticnet#1,-0.7461300309597523
2023-07-07,elasticnet#1,-0.16202270381836945
2023-07-10,elasticnet#1,0.5912087912087911
2023-07-12,elasticnet#1,0.21323529411764702
2023-07-13,elasticnet#1,0.8264705882352941
2023-07-14,elasticnet#1,-0.31176470588235283
2023-07-03,elasticnet#2,-0.3126934984520122
2023-07-05,elasticnet#2,0.27058823529411774
2023-07-06,elasticnet#2,-0.7461300309597523
2023-07-07,elasticnet#2,-0.16202270381836945
2023-07-10,elasticnet#2,0.5912087912087911
2023-07-12,elasticnet#2,0.21323529411764702
2023-07-13,elasticnet#2,0.8264705882352941
2023-07-14,elasticnet#2,-0.31176470588235283
2023-07-03,pcr#1,-0.04231166150670791
2023-07-05,pcr#1,0.27058823529411774
2023-07-06,pcr#1,-0.7502579979360166
2023-07-07,pcr#1,-0.3250773993808049
2023-07-10,pcr#1,0.5912087912087911
2023-07-12,pcr#1,-0.01715686274509788
2023-07-13,pcr#1,0.8264705882352941
2023-07-14,pcr#1,-0.5617647058823528
2023-07-03,pcr#2,-0.04231166150670791
2023-07-05,pcr#2,0.27058823529411774
