model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,8,1.429509,1.986326,2.035548,0.875
N-En,8,1.430337,1.989133,2.033852,0.875
elasticnet#1,8,1.429509,1.986326,2.035548,0.875
elasticnet#2,8,1.429509,1.986326,2.035548,0.875
ffn#1,8,1.425836,1.988255,2.028348,0.875
ffn#2,8,1.419863,1.984151,2.024028,0.875
lasso#1,8,1.429509,1.986326,2.035548,0.875
lasso#2,8,1.429509,1.986326,2.035548,0.875
lgbm_dart#1,8,1.510926,2.16726,1.971864,0.875
lgbm_dart#2,8,1.41619,1.97872,2.024333,0.875
lgbm_gbdt#1,8,1.407369,1.991309,1.999007,0.875
lgbm_gbdt#2,8,1.427637,1.971628,2.048037,0.875
pcr#1,8,1.353386,2.04636,1.870616,0.75
pcr#2,8,1.353386,2.04636,1.870616,0.75
pls#1,8,1.42778,1.98742,2.031967,0.875
pls#2,8,1.42778,1.98742,2.031967,0.875
rf#1,8,1.430272,1.989067,2.033828,0.875
rf#2,8,1.430909,1.99051,2.033259,0.875
ridge#1,8,1.429042,1.985848,2.035372,0.875
ridge#2,8,1.429042,1.985848,2.035372,0.875
