model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
L-En,0.254952,0.076034,1.862891,1.602941,0.275799
lasso#2,0.23573,0.069722,1.762018,1.629763,0.258504
lasso#1,0.235667,0.069561,1.760689,1.628367,0.258596
elasticnet#1,0.230374,0.063816,1.710981,1.585003,0.258423
elasticnet#2,0.228699,0.062324,1.703173,1.575026,0.257858
N-En,0.219788,0.189776,1.617187,1.686297,0.278385
lgbm_gbdt#2,0.200655,0.142171,2.113283,1.702167,0.213842
rf#2,0.17995,0.158136,1.172742,1.522657,0.26325
lgbm_dart#2,0.161799,0.143573,1.550572,1.46356,0.231445
lgbm_gbdt#1,0.159884,0.142522,1.413341,1.271045,0.21759
pcr#1,0.14984,0.040638,1.808492,1.551608,0.162711
pcr#2,0.14984,0.040638,1.808492,1.551608,0.162711
lgbm_dart#1,0.140307,0.100725,1.757046,1.616649,0.171725
rf#1,0.125507,0.159091,0.525305,1.437703,0.23365
ffn#2,0.098116,0.043428,1.107838,1.430102,0.290608
ffn#1,0.086064,0.033895,1.076232,1.408901,0.284932
pls#1,-0.001248,-0.010677,0.810528,1.174582,0.221886
ridge#1,-0.36647,-0.008283,0.073267,1.484427,0.076484
ridge#2,-0.384886,-0.008588,0.039683,1.487693,0.071065
pls#2,-0.469497,-0.248661,0.255488,0.629332,0.223985
