model,IC_mean,IC_std,N
L-En,0.1394607843137255,1.067245970232049,2
N-En,0.15073529411764702,1.0762581154824657,2
elasticnet#1,0.14068627450980387,1.0655128653761998,2
elasticnet#2,0.14068627450980387,1.0655128653761998,2
ffn#1,0.15416666666666673,1.0880432285022417,2
ffn#2,0.15416666666666673,1.0880432285022417,2
lasso#1,0.13431372549019605,1.0495683007023853,2
lasso#2,0.13431372549019605,1.0495683007023853,2
lgbm_dart#1,0.19984667278534068,0.9901663310876188,2
lgbm_dart#2,0.1884803921568628,0.9147327429173036,2
lgbm_gbdt#1,0.2031111435568903,0.9288195517692425,2
lgbm_gbdt#2,0.15662870450271457,0.85321372322588,2
pcr#1,0.14191176470588238,0.7518208864674616,2
pcr#2,0.14191176470588238,0.7518208864674616,2
pls#1,0.13480392156862742,1.0155994455277375,2
pls#2,0.13553921568627458,1.0270379375763434,2
rf#1,0.1730392156862745,1.028077800489853,2
rf#2,0.19166666666666676,1.005894058334981,2
ridge#1,0.1578431372549019,1.103641172204886,2
ridge#2,0.1578431372549019,1.103641172204886,2
