model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,2,3.756499,0.579776,102.854503,1.0
N-En,2,3.758249,0.577301,103.343634,1.0
elasticnet#1,2,3.756499,0.579776,102.854503,1.0
elasticnet#2,2,3.756499,0.579776,102.854503,1.0
ffn#1,2,3.756499,0.579776,102.854503,1.0
ffn#2,2,3.756499,0.579776,102.854503,1.0
lasso#1,2,3.756499,0.579776,102.854503,1.0
lasso#2,2,3.756499,0.579776,102.854503,1.0
lgbm_dart#1,2,3.817133,0.627667,96.540138,1.0
lgbm_dart#2,2,3.608975,0.333288,171.895281,1.0
lgbm_gbdt#1,2,3.605519,0.338177,169.248369,1.0
lgbm_gbdt#2,2,3.64461,0.385675,150.013248,1.0
pcr#1,2,3.551229,0.243838,231.194977,1.0
pcr#2,2,3.551229,0.243838,231.194977,1.0
pls#1,2,3.764677,0.56821,105.176517,1.0
pls#2,2,3.764677,0.56821,105.176517,1.0
rf#1,2,3.766427,0.565735,105.685806,1.0
rf#2,2,3.766427,0.565735,105.685806,1.0
ridge#1,2,3.804568,0.645437,93.573223,1.0
ridge#2,2,3.804568,0.645437,93.573223,1.0
