model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.259741,0.133243,1.819599,1.556823,0.252049,0.259741
rf#2,0.232622,0.101632,1.797693,1.507721,0.230799,0.232622
ffn#2,0.220699,0.088377,1.797598,1.515257,0.216437,0.220699
ffn#1,0.220363,0.088562,1.76622,1.501261,0.214883,0.220363
pls#2,0.218943,0.089548,1.948445,1.491616,0.211754,0.218943
lgbm_dart#2,0.218877,0.10396,2.263417,1.678792,0.230639,0.218877
N-En,0.217106,0.099466,2.184534,1.710206,0.226312,0.217106
lgbm_gbdt#1,0.201045,0.118806,2.433133,1.724167,0.216014,0.201045
pls#1,0.193802,0.06276,1.608071,1.596644,0.180657,0.193802
ridge#2,0.181022,0.093532,2.112957,1.778591,0.178893,0.181022
ridge#1,0.180507,0.092539,2.121079,1.77861,0.178817,0.180507
elasticnet#2,0.179678,0.074351,2.352945,1.854182,0.185652,0.179678
elasticnet#1,0.177775,0.073263,2.356456,1.859015,0.183984,0.177775
L-En,0.174857,0.068018,2.301516,1.809878,0.179454,0.174857
lasso#1,0.172342,0.071006,2.349167,1.870302,0.17865,0.172342
lasso#2,0.172116,0.070904,2.349531,1.870703,0.178438,0.172116
lgbm_gbdt#2,0.168528,0.086416,2.542822,1.827457,0.186363,0.168528
lgbm_dart#1,0.117755,0.04463,2.700753,1.807281,0.131905,0.117755
pcr#1,0.096831,0.017967,2.367973,1.8174,0.102997,0.096831
pcr#2,0.096831,0.017967,2.367973,1.8174,0.102997,0.096831
