model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#1,0.099535,0.049991,2.635699,2.766249,0.146848
N-En,0.086642,0.062184,2.610284,3.461043,0.1424
lgbm_gbdt#2,0.084358,0.051411,3.243861,3.116618,0.108641
L-En,0.077979,0.045272,3.193999,4.101227,0.111792
rf#1,0.069796,0.048062,2.31177,2.458225,0.14499
lasso#1,0.069405,0.040869,3.330197,3.73602,0.097895
elasticnet#2,0.068916,0.040672,3.359975,3.71207,0.097042
pcr#2,0.068583,0.017424,2.909622,4.212231,0.077489
pls#1,0.058534,0.04817,1.998888,3.436954,0.146769
ridge#2,0.048967,0.05627,2.825919,3.814259,0.099575
ffn#1,-0.017739,0.058269,1.243189,3.143946,0.119806
