model,IC_mean,IC_std,N
L-En,0.07760343343783244,0.5453231405951938,8
N-En,0.052792481108876355,0.5403509695642938,8
elasticnet#2,0.05931679119776445,0.5601965600669857,8
ffn#1,0.07105258815532745,0.5419558425044789,8
lasso#1,0.059866241747215,0.560696165195338,8
lgbm_dart#1,0.018297206840828778,0.5723102779436632,8
lgbm_gbdt#2,0.04648775539856746,0.4678663990599173,8
pcr#2,0.07529718705263867,0.543437460926082,8
pls#1,0.08087150179878005,0.5350685907854856,8
rf#1,0.0189428958851815,0.5259186414039584,8
ridge#2,0.07027877280434824,0.5552354654129847,8
