group,model,ic
2023-03-03,ridge#1,-0.782419786096257
2023-03-06,ridge#1,-0.268716577540107
2023-03-07,ridge#1,-0.7441348973607036
2023-03-08,ridge#1,0.7199413489736071
2023-03-09,ridge#1,-0.5919117647058825
2023-03-13,ridge#1,-0.7994397759103642
2023-03-14,ridge#1,0.8229691876750699
2023-03-15,ridge#1,-0.45126050420168057
2023-03-16,ridge#1,0.06498599439775934
2023-03-17,ridge#1,-0.4032169821643507
2023-03-20,ridge#1,-0.6303643724696354
2023-03-21,ridge#1,0.5649414596783017
2023-03-22,ridge#1,-0.7684210526315788
2023-03-23,ridge#1,-0.8785425101214575
2023-03-24,ridge#1,-0.12317073170731706
2023-03-31,ridge#1,-0.9006435006435007
2023-04-03,ridge#1,0.5158843053579895
2023-04-04,ridge#1,-0.7719298245614035
2023-04-05,ridge#1,-0.7943371943371943
2023-04-06,ridge#1,-0.65742057847321
2023-04-07,ridge#1,0.5734877734877735
2023-04-10,ridge#1,-0.6602316602316599
2023-04-11,ridge#1,-0.9295874822190612
2023-04-12,ridge#1,-0.8779922779922781
2023-04-13,ridge#1,-0.8499288762446656
2023-04-14,ridge#1,-0.11568627450980393
2023-04-17,ridge#1,-0.2501400560224091
2023-04-18,ridge#1,0.4114845938375352
2023-04-19,ridge#1,0.8949579831932775
2023-04-20,ridge#1,0.5315315315315315
2023-04-21,ridge#1,-0.5922238027501184
2023-05-01,ridge#1,-0.4840080971659918
2023-05-02,ridge#1,0.3092334494773519
2023-05-03,ridge#1,-0.21384004537719792
2023-05-04,ridge#1,-0.07689814439672642
2023-05-05,ridge#1,0.7632282635118709
2023-05-08,ridge#1,0.4290244639081848
2023-05-09,ridge#1,-0.860801393728223
2023-05-10,ridge#1,-0.08710801393728222
2023-05-11,ridge#1,0.2638144217091586
2023-05-12,ridge#1,0.19985905567300924
2023-05-15,ridge#1,-0.34089619965967105
2023-05-16,ridge#1,-0.48900317321369935
2023-05-17,ridge#1,0.8281376518218626
2023-05-18,ridge#1,-0.5151260504201681
2023-05-19,ridge#1,0.07307692307692305
2023-05-22,ridge#1,-0.08828828828828836
2023-06-02,ridge#1,0.8597168597168596
2023-06-05,ridge#1,0.515966386554622
2023-06-06,ridge#1,0.4648648648648648
2023-06-07,ridge#1,-0.43585434173669485
2023-06-08,ridge#1,-0.7891520244461422
2023-06-09,ridge#1,0.840183346065699
2023-06-12,ridge#1,-0.4747899159663865
2023-06-13,ridge#1,-0.162433155080214
2023-06-14,ridge#1,0.3612967914438503
2023-06-15,ridge#1,0.728609625668449
2023-06-16,ridge#1,0.20213903743315512
2023-06-20,ridge#1,-0.006949806949806972
2023-06-21,ridge#1,-0.2586328400281889
2023-06-22,ridge#1,0.03276955602536996
2023-06-23,ridge#1,-0.48480674175512495
2023-06-30,ridge#1,-0.6417391304347826
2023-07-03,ridge#1,-0.7165217391304348
2023-07-05,ridge#1,-0.05652173913043482
2023-07-06,ridge#1,-0.8476923076923079
2023-07-07,ridge#1,-0.7478260869565215
2023-07-10,ridge#1,0.15652173913043477
2023-07-11,ridge#1,0.12956521739130428
2023-07-12,ridge#1,0.22086956521739143
2023-07-13,ridge#1,0.7704517704517704
2023-07-14,ridge#1,-0.1008547008547009
2023-07-17,ridge#1,-0.5800000000000001
2023-07-18,ridge#1,-0.652173913043478
2023-07-19,ridge#1,0.12410256410256412
2023-07-20,ridge#1,-0.9304347826086957
2023-07-21,ridge#1,0.7113043478260872
2023-07-28,ridge#1,0.23152709359605905
2023-07-31,ridge#1,-0.39507389162561574
2023-08-01,ridge#1,0.17783251231527092
2023-08-02,ridge#1,0.5241379310344828
2023-08-03,ridge#1,-0.19108669108669107
2023-08-04,ridge#1,-0.007661290322580688
2023-08-07,ridge#1,-0.4629588431590657
2023-08-08,ridge#1,-0.40051480051480076
2023-08-09,ridge#1,0.016988416988416945
2023-08-10,ridge#1,-0.45939933259176874
2023-08-11,ridge#1,0.3067226890756302
2023-08-14,ridge#1,-0.06951286261631093
2023-08-15,ridge#1,-0.5439882697947214
2023-08-16,ridge#1,0.6681451612903225
2023-08-17,ridge#1,0.4634037819799778
2023-08-18,ridge#1,0.031198686371100178
2023-03-03,ridge#2,-0.782419786096257
2023-03-06,ridge#2,-0.25935828877005357
2023-03-07,ridge#2,-0.7507331378299119
2023-03-08,ridge#2,0.7199413489736071
2023-03-09,ridge#2,-0.5962566844919784
2023-03-13,ridge#2,-0.8050420168067229
2023-03-14,ridge#2,0.8229691876750699
2023-03-15,ridge#2,-0.4563025210084033
2023-03-16,ridge#2,0.04761904761904786
2023-03-17,ridge#2,-0.4038735091366672
2023-03-20,ridge#2,-0.634817813765182
2023-03-21,ridge#2,0.5649414596783017
2023-03-22,ridge#2,-0.7686234817813763
2023-03-23,ridge#2,-0.8785425101214575
2023-03-24,ridge#2,-0.12317073170731706
2023-03-31,ridge#2,-0.9006435006435007
2023-04-03,ridge#2,0.5158843053579895
2023-04-04,ridge#2,-0.7719298245614035
2023-04-05,ridge#2,-0.7943371943371943
2023-04-06,ridge#2,-0.65742057847321
2023-04-07,ridge#2,0.5734877734877735
2023-04-10,ridge#2,-0.6602316602316599
2023-04-11,ridge#2,-0.9295874822190612
2023-04-12,ridge#2,-0.8779922779922781
2023-04-13,ridge#2,-0.8499288762446656
2023-04-14,ridge#2,-0.11568627450980393
2023-04-17,ridge#2,-0.2501400560224091
2023-04-18,ridge#2,0.4114845938375352
2023-04-19,ridge#2,0.8949579831932775
2023-04-20,ridge#2,0.5315315315315315
2023-04-21,ridge#2,-0.5922238027501184
2023-05-01,ridge#2,-0.4840080971659918
2023-05-02,ridge#2,0.3092334494773519
2023-05-03,ridge#2,-0.21384004537719792
2023-05-04,ridge#2,-0.07689814439672642
2023-05-05,ridge#2,0.7632282635118709
2023-05-08,ridge#2,0.4290244639081848
2023-05-09,ridge#2,-0.860801393728223
2023-05-10,ridge#2,-0.08710801393728222
2023-05-11,ridge#2,0.2638144217091586
2023-05-12,ridge#2,0.19985905567300924
2023-05-15,ridge#2,-0.34089619965967105
2023-05-16,ridge#2,-0.48900317321369935
2023-05-17,ridge#2,0.8281376518218626
2023-05-18,ridge#2,-0.5151260504201681
2023-05-19,ridge#2,0.07307692307692305
2023-05-22,ridge#2,-0.08828828828828836
2023-06-02,ridge#2,0.8597168597168596
2023-06-05,ridge#2,0.515966386554622
2023-06-06,ridge#2,0.4648648648648648
2023-06-07,ridge#2,-0.43585434173669485
2023-06-08,ridge#2,-0.7891520244461422
2023-06-09,ridge#2,0.840183346065699
2023-06-12,ridge#2,-0.4756302521008403
2023-06-13,ridge#2,-0.162433155080214
2023-06-14,ridge#2,0.3612967914438503
2023-06-15,ridge#2,0.728609625668449
2023-06-16,ridge#2,0.20213903743315512
2023-06-20,ridge#2,-0.002316602316602298
2023-06-21,ridge#2,-0.2586328400281889
2023-06-22,ridge#2,0.03276955602536996
2023-06-23,ridge#2,-0.48480674175512495
2023-06-30,ridge#2,-0.6582608695652173
2023-07-03,ridge#2,-0.7165217391304348
2023-07-05,ridge#2,-0.05652173913043482
2023-07-06,ridge#2,-0.8476923076923079
2023-07-07,ridge#2,-0.7478260869565215
2023-07-10,ridge#2,0.15652173913043477
2023-07-11,ridge#2,0.12956521739130428
