model,IC_mean,IC_std,N
L-En,0.13430800492892764,0.591796866929128,55
N-En,0.1282636214125488,0.601744487996431,55
elasticnet#2,0.13344015631702963,0.5888719514465932,55
ffn#1,0.13797170656736232,0.5919866249660327,55
lasso#1,0.13169476310456557,0.5878830383607864,55
lgbm_dart#1,0.10087517606730567,0.595089317886343,55
lgbm_gbdt#2,0.13857218828040213,0.571819756572024,55
pcr#2,0.12762870567997217,0.5857748675562328,55
pls#1,0.13321331376382212,0.5902320218904092,55
rf#1,0.12487897539814742,0.585963847319262,55
ridge#2,0.1343510986844182,0.5857790846984383,55
