model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,55,1.677383,2.786655,4.464063,0.8
N-En,55,1.689607,2.829036,4.429233,0.781818
elasticnet#2,55,1.624275,2.570059,4.687033,0.8
ffn#1,55,1.681725,2.794857,4.462485,0.781818
lasso#1,55,1.624235,2.569879,4.687245,0.8
lgbm_dart#1,55,1.685214,2.840519,4.39986,0.781818
lgbm_gbdt#2,55,1.631708,2.530778,4.781562,0.763636
pcr#2,55,1.655136,2.780656,4.41436,0.763636
pls#1,55,1.680059,2.786749,4.471035,0.8
rf#1,55,1.679653,2.815766,4.423891,0.8
ridge#2,55,1.678218,2.810119,4.428993,0.8
