model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.065929,0.056585,1.298898,1.947998,0.157947
lgbm_gbdt#2,0.063529,0.055828,1.125972,1.699856,0.161315
rf#1,0.063057,0.054542,1.121174,1.917002,0.165996
lgbm_dart#2,0.062671,0.048805,0.963463,1.672938,0.154247
ffn#1,0.060662,0.05622,1.416405,2.021646,0.139709
pls#2,0.05799,0.03702,1.390079,1.861416,0.123711
L-En,0.038567,0.026515,1.556826,2.215067,0.077071
elasticnet#1,0.032541,0.020367,1.482986,2.326169,0.058463
lasso#2,0.032534,0.021637,1.475342,2.335688,0.06271
pcr#2,0.031049,0.014604,1.570567,2.202066,0.051239
ridge#2,-0.013477,0.036868,1.101169,2.134875,0.067804
